respondent_id,choice_set,alternative,alternative_name,product_type,sugar_content,health_label,price,choice
1,1,1,제품 A,알반당,알반당,1.0,2500.0,1
1,1,2,제품 B,무설탕,무설탕,0.0,2000.0,0
1,1,3,구매안함,,,,,0
1,2,1,제품 A,알반당,알반당,0.0,3000.0,0
1,2,2,제품 B,무설탕,무설탕,1.0,2500.0,1
1,2,3,구매안함,,,,,0
1,3,1,제품 A,알반당,무설탕,0.0,2000.0,1
1,3,2,제품 B,무설탕,무설탕,1.0,3000.0,0
1,3,3,구매안함,,,,,0
1,4,1,제품 A,알반당,알반당,1.0,2000.0,1
1,4,2,제품 B,무설탕,알반당,0.0,2500.0,0
1,4,3,구매안함,,,,,0
1,5,1,제품 A,알반당,무설탕,0.0,2500.0,1
1,5,2,제품 B,무설탕,알반당,1.0,3000.0,0
1,5,3,구매안함,,,,,0
1,6,1,제품 A,알반당,알반당,1.0,3000.0,0
1,6,2,제품 B,무설탕,무설탕,0.0,2000.0,1
1,6,3,구매안함,,,,,0
3,1,1,제품 A,알반당,알반당,1.0,2500.0,1
3,1,2,제품 B,무설탕,무설탕,0.0,2000.0,0
3,1,3,구매안함,,,,,0
3,2,1,제품 A,알반당,알반당,0.0,3000.0,0
3,2,2,제품 B,무설탕,무설탕,1.0,2500.0,1
3,2,3,구매안함,,,,,0
3,3,1,제품 A,알반당,무설탕,0.0,2000.0,0
3,3,2,제품 B,무설탕,무설탕,1.0,3000.0,1
3,3,3,구매안함,,,,,0
3,4,1,제품 A,알반당,알반당,1.0,2000.0,1
3,4,2,제품 B,무설탕,알반당,0.0,2500.0,0
3,4,3,구매안함,,,,,0
3,5,1,제품 A,알반당,무설탕,0.0,2500.0,0
3,5,2,제품 B,무설탕,알반당,1.0,3000.0,1
3,5,3,구매안함,,,,,0
3,6,1,제품 A,알반당,알반당,1.0,3000.0,1
3,6,2,제품 B,무설탕,무설탕,0.0,2000.0,0
3,6,3,구매안함,,,,,0
5,1,1,제품 A,알반당,알반당,1.0,2500.0,1
5,1,2,제품 B,무설탕,무설탕,0.0,2000.0,0
5,1,3,구매안함,,,,,0
5,2,1,제품 A,알반당,알반당,0.0,3000.0,0
5,2,2,제품 B,무설탕,무설탕,1.0,2500.0,1
5,2,3,구매안함,,,,,0
5,3,1,제품 A,알반당,무설탕,0.0,2000.0,1
5,3,2,제품 B,무설탕,무설탕,1.0,3000.0,0
5,3,3,구매안함,,,,,0
5,4,1,제품 A,알반당,알반당,1.0,2000.0,0
5,4,2,제품 B,무설탕,알반당,0.0,2500.0,0
5,4,3,구매안함,,,,,1
5,5,1,제품 A,알반당,무설탕,0.0,2500.0,1
5,5,2,제품 B,무설탕,알반당,1.0,3000.0,0
5,5,3,구매안함,,,,,0
