no,q6,q7,q8,q9,q10,q11
1,4,4,3,3,4,3
3,4,4,3,4,3,3
5,4,4,4,4,3,3
6,5,3,3,3,4,3
7,3,3,3,3,4,3
8,4,3,4,3,4,3
9,2,2,4,3,4,2
10,3,3,2,3,3,3
11,2,3,3,4,3,2
12,4,4,4,4,4,4
13,5,4,5,4,4,4
14,4,4,4,4,5,3
15,4,3,3,3,4,3
16,4,4,5,4,4,4
17,3,4,3,4,4,4
18,3,3,3,3,3,3
19,3,4,4,4,4,4
20,5,5,5,5,4,3
21,5,4,4,5,4,4
22,4,4,3,4,4,4
23,4,3,3,3,3,3
24,5,5,4,5,5,4
25,3,3,3,4,3,3
27,5,5,5,5,5,5
28,4,3,4,3,5,4
29,4,4,4,4,5,4
30,4,4,4,4,4,4
31,4,3,3,4,4,3
32,4,4,3,3,4,3
33,3,3,2,3,4,3
34,3,3,2,3,3,2
35,4,4,3,4,3,4
36,4,4,3,4,4,3
37,3,2,3,1,4,3
38,4,3,4,4,3,4
39,3,3,4,3,3,3
40,3,3,3,3,3,3
41,3,3,3,2,2,2
42,4,4,4,4,4,4
43,4,4,3,3,3,4
44,4,4,4,4,4,4
45,4,4,4,4,4,4
46,4,3,3,3,3,2
47,3,2,4,4,4,3
48,5,5,4,5,5,5
49,5,4,4,5,4,4
50,4,4,4,4,4,4
51,5,5,5,5,5,5
52,3,2,2,2,3,2
53,5,4,3,4,4,4
54,5,5,5,5,5,5
55,4,4,5,5,5,4
56,4,4,5,5,4,5
57,3,4,3,4,4,3
58,4,4,4,4,4,4
59,5,5,4,4,4,4
60,4,4,4,4,4,4
61,4,3,3,3,4,3
62,4,4,4,4,4,4
64,4,4,3,4,3,3
65,5,5,5,5,5,5
66,3,3,1,3,5,1
67,2,2,4,3,3,2
69,3,3,4,4,4,4
70,4,4,4,3,3,4
71,4,4,4,5,4,4
72,3,2,3,3,3,3
73,3,3,2,3,3,3
74,3,3,4,4,5,3
75,3,3,4,4,3,3
76,5,5,4,5,5,4
77,3,3,3,3,3,3
78,5,4,4,5,4,4
79,4,4,4,4,4,4
80,3,3,4,4,3,3
81,3,3,4,3,3,3
82,4,3,3,4,4,4
83,3,2,2,3,2,2
84,4,4,3,3,4,3
85,3,3,4,4,4,4
86,3,3,3,3,3,3
87,3,4,4,3,3,3
88,5,5,5,5,5,5
89,3,3,4,4,4,3
90,5,5,4,4,5,4
91,3,4,4,4,4,3
92,4,4,4,4,4,4
93,4,4,4,4,4,3
94,1,2,3,4,5,4
95,3,4,4,4,3,2
96,4,3,4,4,4,4
97,3,4,3,3,4,3
98,4,4,4,4,4,5
99,3,2,2,3,2,2
100,4,3,4,4,3,4
101,4,4,4,4,4,4
102,2,3,4,4,4,4
103,4,4,3,4,4,4
104,5,5,5,5,5,4
105,5,5,5,5,5,5
106,4,3,3,4,3,4
107,3,3,4,3,4,3
108,4,4,3,4,4,4
109,4,4,4,4,4,4
110,4,4,4,4,4,4
111,4,4,3,4,4,4
112,4,4,4,4,4,3
113,3,2,3,3,3,2
114,3,3,3,3,4,3
115,3,3,3,4,4,3
116,5,4,4,3,4,3
117,4,4,4,4,4,3
119,2,2,3,2,2,3
120,3,3,3,4,3,3
121,4,4,4,4,4,4
122,4,4,4,4,4,4
123,3,4,3,3,3,4
124,3,3,4,4,4,4
125,5,5,5,5,5,5
126,3,3,4,4,4,4
128,4,3,4,4,5,4
129,3,3,4,3,3,3
130,5,5,4,5,5,4
131,4,4,4,4,4,4
132,4,4,4,4,5,4
133,5,4,3,3,4,4
134,4,4,4,4,4,4
135,3,2,2,2,2,2
136,5,5,4,4,3,4
137,4,4,3,4,4,4
138,4,4,4,4,4,3
139,2,2,3,2,3,4
140,5,4,4,4,4,3
141,5,5,5,5,5,5
142,4,4,4,4,4,4
143,4,4,4,4,5,4
144,2,2,3,2,3,1
145,4,4,4,4,4,4
146,4,3,3,4,4,3
