Item,Factor,Loading,SE,Z_value,P_value,Significant,Analysis_Type,Sample_Size
q6,health_concern,1.0,-,-,,False,multiple_factors,330
q7,health_concern,1.036,0.06922185604491658,14.966866145304916,0.0,True,multiple_factors,330
q8,health_concern,0.899,0.06676598040873008,13.465649263139934,0.0,True,multiple_factors,330
q9,health_concern,0.9684,0.06332258836200308,15.292531150746852,0.0,True,multiple_factors,330
q10,health_concern,0.8467,0.06785743179819315,12.478325156613757,0.0,True,multiple_factors,330
q11,health_concern,1.0572,0.06826057232306083,15.488370596303342,0.0,True,multiple_factors,330
q12,perceived_benefit,1.0,-,-,,False,multiple_factors,330
q13,perceived_benefit,0.5635,0.07979656235780043,7.061664146189505,0.0,True,multiple_factors,330
q14,perceived_benefit,1.092,0.06847862126984956,15.94613092649161,0.0,True,multiple_factors,330
q15,perceived_benefit,0.9654,0.06910079289544147,13.970980718508228,0.0,True,multiple_factors,330
q16,perceived_benefit,0.7087,0.0793364175135037,8.93244072433914,0.0,True,multiple_factors,330
q17,perceived_benefit,0.937,0.07949824490663938,11.786096441487897,0.0,True,multiple_factors,330
q18,purchase_intention,1.0,-,-,,False,multiple_factors,330
q19,purchase_intention,1.0332,0.03443627876938156,30.004467629283138,0.0,True,multiple_factors,330
q20,purchase_intention,0.9733,0.034359298270818295,28.326983628442353,0.0,True,multiple_factors,330
q27,perceived_price,1.0,-,-,,False,multiple_factors,330
q28,perceived_price,0.7073,0.07606055001079176,9.298603521532632,0.0,True,multiple_factors,330
q29,perceived_price,1.0599,0.08808937231298024,12.032222107461262,0.0,True,multiple_factors,330
q30,nutrition_knowledge,1.0,-,-,,False,multiple_factors,330
q31,nutrition_knowledge,0.6044,0.09070661825901062,6.663450094579953,0.0,True,multiple_factors,330
q32,nutrition_knowledge,0.9481,0.09380403282554522,10.106989158645527,0.0,True,multiple_factors,330
q33,nutrition_knowledge,-0.5709,0.094872197408148,-6.018005772775792,0.0,True,multiple_factors,330
q34,nutrition_knowledge,1.1628,0.11143796684428056,10.434645453951363,0.0,True,multiple_factors,330
q35,nutrition_knowledge,1.0522,0.09823564922496504,10.710588486383164,0.0,True,multiple_factors,330
q36,nutrition_knowledge,1.0352,0.10898097961879609,9.49845664855808,0.0,True,multiple_factors,330
q37,nutrition_knowledge,-0.122,0.08907944395702287,-1.3692631332166723,0.1709,False,multiple_factors,330
q38,nutrition_knowledge,1.2798,0.11691368463578444,10.946598189341964,0.0,True,multiple_factors,330
q39,nutrition_knowledge,1.1957,0.10897238193013872,10.972865918440455,0.0,True,multiple_factors,330
q40,nutrition_knowledge,-0.3452,0.08670215397865319,-3.980912596826617,0.0001,True,multiple_factors,330
q41,nutrition_knowledge,0.292,0.08179499418780149,3.5696615620797685,0.0004,True,multiple_factors,330
q42,nutrition_knowledge,1.1875,0.10799512831960098,10.995572956662597,0.0,True,multiple_factors,330
q43,nutrition_knowledge,1.1361,0.1032419514370886,11.004706436029313,0.0,True,multiple_factors,330
q44,nutrition_knowledge,1.1879,0.10581651242689835,11.226144461681471,0.0,True,multiple_factors,330
q45,nutrition_knowledge,1.3359,0.10645292052405718,12.548819632110614,0.0,True,multiple_factors,330
q46,nutrition_knowledge,1.0415,0.1006370839498055,10.349270094105576,0.0,True,multiple_factors,330
q47,nutrition_knowledge,-1.0712,0.10234700513236678,-10.46669704309002,0.0,True,multiple_factors,330
q48,nutrition_knowledge,0.7022,0.08793641195231294,7.985407969410525,0.0,True,multiple_factors,330
q49,nutrition_knowledge,0.7381,0.10605916944785376,6.95919645710728,0.0,True,multiple_factors,330
