Item,Factor,Loading,SE,Z_value,P_value,Significant,Analysis_Type,Sample_Size
q6,health_concern,1.0,-,-,,False,multiple_factors,300
q7,health_concern,0.9086,0.035990593801566106,25.244395315350804,0.0,True,multiple_factors,300
q8,health_concern,0.7197,0.03805670014931616,18.910142252063913,0.0,True,multiple_factors,300
q9,health_concern,0.7827,0.03339574364358049,23.438274628756723,0.0,True,multiple_factors,300
q10,health_concern,0.7105,0.036393806597436726,19.52280453117606,0.0,True,multiple_factors,300
q11,health_concern,0.8602,0.03623029984751324,23.74301490350683,0.0,True,multiple_factors,300
q16,perceived_benefit,1.0,-,-,,False,multiple_factors,300
q17,perceived_benefit,0.7827,0.05443052658103399,14.380516007028639,0.0,True,multiple_factors,300
q18,purchase_intention,1.0,-,-,,False,multiple_factors,300
q19,purchase_intention,1.0381,0.0390388371089255,26.590587824837783,0.0,True,multiple_factors,300
q27,perceived_price,1.0,-,-,,False,multiple_factors,300
q28,perceived_price,0.492,0.04366531528273683,11.267687361861485,0.0,True,multiple_factors,300
q29,perceived_price,0.7977,0.04348925315569121,18.341824446063246,0.0,True,multiple_factors,300
q30,nutrition_knowledge,1.0,-,-,,False,multiple_factors,300
q31,nutrition_knowledge,0.4626,0.04651151457085253,9.945089930557694,0.0,True,multiple_factors,300
q32,nutrition_knowledge,0.6762,0.04449942683970287,15.194703089201553,0.0,True,multiple_factors,300
q33,nutrition_knowledge,-0.4108,0.04904642696913531,-8.375458933589895,0.0,True,multiple_factors,300
q34,nutrition_knowledge,0.8536,0.05095982995971237,16.750533257368748,0.0,True,multiple_factors,300
q35,nutrition_knowledge,0.7559,0.0451786639531712,16.73055512264562,0.0,True,multiple_factors,300
q36,nutrition_knowledge,0.7393,0.05354804854235263,13.805581474162134,0.0,True,multiple_factors,300
q37,nutrition_knowledge,-0.0936,0.051471136241338145,-1.819362628517389,0.0689,False,multiple_factors,300
q38,nutrition_knowledge,0.9107,0.05311866608502626,17.144195572153606,0.0,True,multiple_factors,300
q39,nutrition_knowledge,0.8518,0.049425526413468986,17.234149676989592,0.0,True,multiple_factors,300
q40,nutrition_knowledge,-0.2454,0.04984269201138852,-4.922918956849116,0.0,True,multiple_factors,300
q41,nutrition_knowledge,0.2054,0.047025742337640876,4.368337038700693,0.0,True,multiple_factors,300
q42,nutrition_knowledge,0.8445,0.047024978186734935,17.95813604149298,0.0,True,multiple_factors,300
q43,nutrition_knowledge,0.8101,0.04472442987377659,18.11336825483805,0.0,True,multiple_factors,300
q44,nutrition_knowledge,0.8672,0.04604551779462296,18.834091235431668,0.0,True,multiple_factors,300
q45,nutrition_knowledge,0.9572,0.04290389405679172,22.3107944525014,0.0,True,multiple_factors,300
q46,nutrition_knowledge,0.7659,0.04653659670093737,16.458797857836156,0.0,True,multiple_factors,300
q47,nutrition_knowledge,-0.7711,0.04708278011120965,-16.378294676777436,0.0,True,multiple_factors,300
q48,nutrition_knowledge,0.5153,0.045563774077869955,11.309152892984558,0.0,True,multiple_factors,300
q49,nutrition_knowledge,0.5201,0.05630240141926806,9.238439487837065,0.0,True,multiple_factors,300
