Item,Factor,Loading,SE,Z_value,P_value,Significant,Analysis_Type,Sample_Size
q6,health_concern,1.0,-,-,,False,multiple_factors,300
q7,health_concern,0.9196,0.03613613723329928,25.44770493835011,0.0,True,multiple_factors,300
q8,health_concern,0.7321,0.038028129505161753,19.252800776198473,0.0,True,multiple_factors,300
q9,health_concern,0.7948,0.03342184123360797,23.782070814805202,0.0,True,multiple_factors,300
q10,health_concern,0.7222,0.03639428735381935,19.84332798413428,0.0,True,multiple_factors,300
q11,health_concern,0.8738,0.03624830306487184,24.104889956624096,0.0,True,multiple_factors,300
q12,perceived_benefit,1.0,-,-,,False,multiple_factors,300
q13,perceived_benefit,-0.4058,0.04820741680969616,-8.41762499788843,0.0,True,multiple_factors,300
q14,perceived_benefit,0.9053,0.03518036390170842,25.73376128551377,0.0,True,multiple_factors,300
q15,perceived_benefit,0.7992,0.03870884647874817,20.64599386933774,0.0,True,multiple_factors,300
q16,perceived_benefit,0.638,0.047929946902890874,13.311075051105881,0.0,True,multiple_factors,300
q17,perceived_benefit,0.7871,0.047228529069352744,16.665855947196214,0.0,True,multiple_factors,300
q18,purchase_intention,1.0,-,-,,False,multiple_factors,300
q19,purchase_intention,1.0667,0.030376650730843474,35.114148075824424,0.0,True,multiple_factors,300
q20,purchase_intention,1.0086,0.03081214493644852,32.732292962301386,0.0,True,multiple_factors,300
q27,perceived_price,1.0,-,-,,False,multiple_factors,300
q28,perceived_price,-0.5286,0.04261162890897714,-12.405193066999084,0.0,True,multiple_factors,300
q29,perceived_price,0.8456,0.04066744694611951,20.793609012498845,0.0,True,multiple_factors,300
q30,nutrition_knowledge,1.0,-,-,,False,multiple_factors,300
q31,nutrition_knowledge,0.4658,0.04651731436129254,10.013575400796677,0.0,True,multiple_factors,300
q32,nutrition_knowledge,0.681,0.044534860129141686,15.291702172159095,0.0,True,multiple_factors,300
q33,nutrition_knowledge,0.4137,0.04904896621676713,8.434489842899847,0.0,True,multiple_factors,300
q34,nutrition_knowledge,0.8605,0.050999608582972256,16.872181777417932,0.0,True,multiple_factors,300
q35,nutrition_knowledge,0.762,0.04521640885701032,16.85209597186776,0.0,True,multiple_factors,300
q36,nutrition_knowledge,0.7449,0.05357990633318561,13.90250630268424,0.0,True,multiple_factors,300
q37,nutrition_knowledge,0.0938,0.05145046461447566,1.8225813154816757,0.0684,False,multiple_factors,300
q38,nutrition_knowledge,0.9173,0.05317895748717815,17.248893517480624,0.0,True,multiple_factors,300
q39,nutrition_knowledge,0.8586,0.04947256692121285,17.354584629461304,0.0,True,multiple_factors,300
q40,nutrition_knowledge,0.2466,0.04983315334492341,4.9480863702956235,0.0,True,multiple_factors,300
q41,nutrition_knowledge,-0.2077,0.047006099857346016,-4.418333075145089,0.0,True,multiple_factors,300
q42,nutrition_knowledge,0.8514,0.04706977793765696,18.089029384028873,0.0,True,multiple_factors,300
q43,nutrition_knowledge,0.8169,0.044762017620010836,18.250773126228065,0.0,True,multiple_factors,300
q44,nutrition_knowledge,0.874,0.04610005537006407,18.95896190679614,0.0,True,multiple_factors,300
q45,nutrition_knowledge,0.9637,0.04300188213409637,22.4104351248774,0.0,True,multiple_factors,300
q46,nutrition_knowledge,0.771,0.04660041782750561,16.544336234613258,0.0,True,multiple_factors,300
q47,nutrition_knowledge,0.7764,0.047135831203591085,16.47239250906835,0.0,True,multiple_factors,300
q48,nutrition_knowledge,0.5187,0.045579388619107,11.380285536847584,0.0,True,multiple_factors,300
q49,nutrition_knowledge,0.5238,0.05631227875321615,9.302349329314191,0.0,True,multiple_factors,300
