respondent_id,question_id,alternative,chosen,sugar_type,health_label,price,sugar_free,has_health_label
1,q21,A,1,무설탕,건강라벨 있음,2500,1,1
1,q21,B,0,일반당,건강라벨 없음,2000,0,0
1,q21,Neither,0,None,None,0,0,0
1,q22,A,0,일반당,건강라벨 없음,3000,0,0
1,q22,B,1,무설탕,건강라벨 있음,2500,1,1
1,q22,Neither,0,None,None,0,0,0
1,q23,A,1,무설탕,건강라벨 없음,2000,1,0
1,q23,B,0,무설탕,건강라벨 있음,3000,1,1
1,q23,Neither,0,None,None,0,0,0
1,q24,A,1,일반당,건강라벨 있음,2000,0,1
1,q24,B,0,일반당,건강라벨 없음,2500,0,0
1,q24,Neither,0,None,None,0,0,0
1,q25,A,1,무설탕,건강라벨 없음,2500,1,0
1,q25,B,0,일반당,건강라벨 있음,3000,0,1
1,q25,Neither,0,None,None,0,0,0
1,q26,A,0,일반당,건강라벨 있음,3000,0,1
1,q26,B,1,무설탕,건강라벨 없음,2000,1,0
1,q26,Neither,0,None,None,0,0,0
3,q21,A,1,무설탕,건강라벨 있음,2500,1,1
3,q21,B,0,일반당,건강라벨 없음,2000,0,0
3,q21,Neither,0,None,None,0,0,0
3,q22,A,0,일반당,건강라벨 없음,3000,0,0
3,q22,B,1,무설탕,건강라벨 있음,2500,1,1
3,q22,Neither,0,None,None,0,0,0
3,q23,A,0,무설탕,건강라벨 없음,2000,1,0
3,q23,B,1,무설탕,건강라벨 있음,3000,1,1
3,q23,Neither,0,None,None,0,0,0
3,q24,A,1,일반당,건강라벨 있음,2000,0,1
3,q24,B,0,일반당,건강라벨 없음,2500,0,0
3,q24,Neither,0,None,None,0,0,0
3,q25,A,0,무설탕,건강라벨 없음,2500,1,0
3,q25,B,1,일반당,건강라벨 있음,3000,0,1
3,q25,Neither,0,None,None,0,0,0
3,q26,A,1,일반당,건강라벨 있음,3000,0,1
3,q26,B,0,무설탕,건강라벨 없음,2000,1,0
3,q26,Neither,0,None,None,0,0,0
5,q21,A,1,무설탕,건강라벨 있음,2500,1,1
5,q21,B,0,일반당,건강라벨 없음,2000,0,0
5,q21,Neither,0,None,None,0,0,0
5,q22,A,0,일반당,건강라벨 없음,3000,0,0
5,q22,B,1,무설탕,건강라벨 있음,2500,1,1
5,q22,Neither,0,None,None,0,0,0
5,q23,A,1,무설탕,건강라벨 없음,2000,1,0
5,q23,B,0,무설탕,건강라벨 있음,3000,1,1
5,q23,Neither,0,None,None,0,0,0
5,q24,A,0,일반당,건강라벨 있음,2000,0,1
5,q24,B,0,일반당,건강라벨 없음,2500,0,0
5,q24,Neither,1,None,None,0,0,0
5,q25,A,1,무설탕,건강라벨 없음,2500,1,0
5,q25,B,0,일반당,건강라벨 있음,3000,0,1
5,q25,Neither,0,None,None,0,0,0
5,q26,A,0,일반당,건강라벨 있음,3000,0,1
5,q26,B,1,무설탕,건강라벨 없음,2000,1,0
5,q26,Neither,0,None,None,0,0,0
6,q21,A,1,무설탕,건강라벨 있음,2500,1,1
6,q21,B,0,일반당,건강라벨 없음,2000,0,0
6,q21,Neither,0,None,None,0,0,0
6,q22,A,0,일반당,건강라벨 없음,3000,0,0
6,q22,B,1,무설탕,건강라벨 있음,2500,1,1
6,q22,Neither,0,None,None,0,0,0
6,q23,A,1,무설탕,건강라벨 없음,2000,1,0
6,q23,B,0,무설탕,건강라벨 있음,3000,1,1
6,q23,Neither,0,None,None,0,0,0
6,q24,A,1,일반당,건강라벨 있음,2000,0,1
6,q24,B,0,일반당,건강라벨 없음,2500,0,0
6,q24,Neither,0,None,None,0,0,0
6,q25,A,1,무설탕,건강라벨 없음,2500,1,0
6,q25,B,0,일반당,건강라벨 있음,3000,0,1
6,q25,Neither,0,None,None,0,0,0
6,q26,A,0,일반당,건강라벨 있음,3000,0,1
6,q26,B,1,무설탕,건강라벨 없음,2000,1,0
6,q26,Neither,0,None,None,0,0,0
8,q21,A,1,무설탕,건강라벨 있음,2500,1,1
8,q21,B,0,일반당,건강라벨 없음,2000,0,0
8,q21,Neither,0,None,None,0,0,0
8,q22,A,0,일반당,건강라벨 없음,3000,0,0
8,q22,B,1,무설탕,건강라벨 있음,2500,1,1
8,q22,Neither,0,None,None,0,0,0
8,q23,A,0,무설탕,건강라벨 없음,2000,1,0
8,q23,B,1,무설탕,건강라벨 있음,3000,1,1
8,q23,Neither,0,None,None,0,0,0
8,q24,A,1,일반당,건강라벨 있음,2000,0,1
8,q24,B,0,일반당,건강라벨 없음,2500,0,0
8,q24,Neither,0,None,None,0,0,0
8,q25,A,0,무설탕,건강라벨 없음,2500,1,0
8,q25,B,1,일반당,건강라벨 있음,3000,0,1
8,q25,Neither,0,None,None,0,0,0
8,q26,A,1,일반당,건강라벨 있음,3000,0,1
8,q26,B,0,무설탕,건강라벨 없음,2000,1,0
8,q26,Neither,0,None,None,0,0,0
10,q21,A,0,무설탕,건강라벨 있음,2500,1,1
10,q21,B,1,일반당,건강라벨 없음,2000,0,0
10,q21,Neither,0,None,None,0,0,0
10,q22,A,0,일반당,건강라벨 없음,3000,0,0
10,q22,B,1,무설탕,건강라벨 있음,2500,1,1
10,q22,Neither,0,None,None,0,0,0
10,q23,A,1,무설탕,건강라벨 없음,2000,1,0
10,q23,B,0,무설탕,건강라벨 있음,3000,1,1
10,q23,Neither,0,None,None,0,0,0
10,q24,A,1,일반당,건강라벨 있음,2000,0,1
10,q24,B,0,일반당,건강라벨 없음,2500,0,0
10,q24,Neither,0,None,None,0,0,0
10,q25,A,0,무설탕,건강라벨 없음,2500,1,0
10,q25,B,1,일반당,건강라벨 있음,3000,0,1
10,q25,Neither,0,None,None,0,0,0
10,q26,A,0,일반당,건강라벨 있음,3000,0,1
10,q26,B,1,무설탕,건강라벨 없음,2000,1,0
10,q26,Neither,0,None,None,0,0,0
11,q21,A,1,무설탕,건강라벨 있음,2500,1,1
11,q21,B,0,일반당,건강라벨 없음,2000,0,0
11,q21,Neither,0,None,None,0,0,0
11,q22,A,0,일반당,건강라벨 없음,3000,0,0
11,q22,B,1,무설탕,건강라벨 있음,2500,1,1
11,q22,Neither,0,None,None,0,0,0
11,q23,A,0,무설탕,건강라벨 없음,2000,1,0
11,q23,B,1,무설탕,건강라벨 있음,3000,1,1
11,q23,Neither,0,None,None,0,0,0
11,q24,A,1,일반당,건강라벨 있음,2000,0,1
11,q24,B,0,일반당,건강라벨 없음,2500,0,0
11,q24,Neither,0,None,None,0,0,0
11,q25,A,1,무설탕,건강라벨 없음,2500,1,0
11,q25,B,0,일반당,건강라벨 있음,3000,0,1
11,q25,Neither,0,None,None,0,0,0
11,q26,A,1,일반당,건강라벨 있음,3000,0,1
11,q26,B,0,무설탕,건강라벨 없음,2000,1,0
11,q26,Neither,0,None,None,0,0,0
12,q21,A,1,무설탕,건강라벨 있음,2500,1,1
12,q21,B,0,일반당,건강라벨 없음,2000,0,0
12,q21,Neither,0,None,None,0,0,0
12,q22,A,0,일반당,건강라벨 없음,3000,0,0
12,q22,B,1,무설탕,건강라벨 있음,2500,1,1
12,q22,Neither,0,None,None,0,0,0
12,q23,A,0,무설탕,건강라벨 없음,2000,1,0
12,q23,B,1,무설탕,건강라벨 있음,3000,1,1
12,q23,Neither,0,None,None,0,0,0
12,q24,A,1,일반당,건강라벨 있음,2000,0,1
12,q24,B,0,일반당,건강라벨 없음,2500,0,0
12,q24,Neither,0,None,None,0,0,0
12,q25,A,0,무설탕,건강라벨 없음,2500,1,0
12,q25,B,1,일반당,건강라벨 있음,3000,0,1
12,q25,Neither,0,None,None,0,0,0
12,q26,A,1,일반당,건강라벨 있음,3000,0,1
12,q26,B,0,무설탕,건강라벨 없음,2000,1,0
12,q26,Neither,0,None,None,0,0,0
13,q21,A,1,무설탕,건강라벨 있음,2500,1,1
13,q21,B,0,일반당,건강라벨 없음,2000,0,0
13,q21,Neither,0,None,None,0,0,0
13,q22,A,0,일반당,건강라벨 없음,3000,0,0
13,q22,B,1,무설탕,건강라벨 있음,2500,1,1
13,q22,Neither,0,None,None,0,0,0
13,q23,A,1,무설탕,건강라벨 없음,2000,1,0
13,q23,B,0,무설탕,건강라벨 있음,3000,1,1
13,q23,Neither,0,None,None,0,0,0
13,q24,A,1,일반당,건강라벨 있음,2000,0,1
13,q24,B,0,일반당,건강라벨 없음,2500,0,0
13,q24,Neither,0,None,None,0,0,0
13,q25,A,1,무설탕,건강라벨 없음,2500,1,0
13,q25,B,0,일반당,건강라벨 있음,3000,0,1
13,q25,Neither,0,None,None,0,0,0
13,q26,A,0,일반당,건강라벨 있음,3000,0,1
13,q26,B,1,무설탕,건강라벨 없음,2000,1,0
13,q26,Neither,0,None,None,0,0,0
14,q21,A,1,무설탕,건강라벨 있음,2500,1,1
14,q21,B,0,일반당,건강라벨 없음,2000,0,0
14,q21,Neither,0,None,None,0,0,0
14,q22,A,0,일반당,건강라벨 없음,3000,0,0
14,q22,B,1,무설탕,건강라벨 있음,2500,1,1
14,q22,Neither,0,None,None,0,0,0
14,q23,A,0,무설탕,건강라벨 없음,2000,1,0
14,q23,B,1,무설탕,건강라벨 있음,3000,1,1
14,q23,Neither,0,None,None,0,0,0
14,q24,A,1,일반당,건강라벨 있음,2000,0,1
14,q24,B,0,일반당,건강라벨 없음,2500,0,0
14,q24,Neither,0,None,None,0,0,0
14,q25,A,0,무설탕,건강라벨 없음,2500,1,0
14,q25,B,1,일반당,건강라벨 있음,3000,0,1
14,q25,Neither,0,None,None,0,0,0
14,q26,A,1,일반당,건강라벨 있음,3000,0,1
14,q26,B,0,무설탕,건강라벨 없음,2000,1,0
14,q26,Neither,0,None,None,0,0,0
15,q21,A,1,무설탕,건강라벨 있음,2500,1,1
15,q21,B,0,일반당,건강라벨 없음,2000,0,0
15,q21,Neither,0,None,None,0,0,0
15,q22,A,0,일반당,건강라벨 없음,3000,0,0
15,q22,B,1,무설탕,건강라벨 있음,2500,1,1
15,q22,Neither,0,None,None,0,0,0
15,q23,A,0,무설탕,건강라벨 없음,2000,1,0
15,q23,B,1,무설탕,건강라벨 있음,3000,1,1
15,q23,Neither,0,None,None,0,0,0
15,q24,A,1,일반당,건강라벨 있음,2000,0,1
15,q24,B,0,일반당,건강라벨 없음,2500,0,0
15,q24,Neither,0,None,None,0,0,0
15,q25,A,1,무설탕,건강라벨 없음,2500,1,0
15,q25,B,0,일반당,건강라벨 있음,3000,0,1
15,q25,Neither,0,None,None,0,0,0
15,q26,A,0,일반당,건강라벨 있음,3000,0,1
15,q26,B,1,무설탕,건강라벨 없음,2000,1,0
15,q26,Neither,0,None,None,0,0,0
16,q21,A,1,무설탕,건강라벨 있음,2500,1,1
16,q21,B,0,일반당,건강라벨 없음,2000,0,0
16,q21,Neither,0,None,None,0,0,0
16,q22,A,0,일반당,건강라벨 없음,3000,0,0
16,q22,B,1,무설탕,건강라벨 있음,2500,1,1
16,q22,Neither,0,None,None,0,0,0
16,q23,A,1,무설탕,건강라벨 없음,2000,1,0
16,q23,B,0,무설탕,건강라벨 있음,3000,1,1
16,q23,Neither,0,None,None,0,0,0
16,q24,A,0,일반당,건강라벨 있음,2000,0,1
16,q24,B,0,일반당,건강라벨 없음,2500,0,0
16,q24,Neither,1,None,None,0,0,0
16,q25,A,0,무설탕,건강라벨 없음,2500,1,0
16,q25,B,1,일반당,건강라벨 있음,3000,0,1
16,q25,Neither,0,None,None,0,0,0
16,q26,A,0,일반당,건강라벨 있음,3000,0,1
16,q26,B,1,무설탕,건강라벨 없음,2000,1,0
16,q26,Neither,0,None,None,0,0,0
17,q21,A,0,무설탕,건강라벨 있음,2500,1,1
17,q21,B,1,일반당,건강라벨 없음,2000,0,0
17,q21,Neither,0,None,None,0,0,0
17,q22,A,1,일반당,건강라벨 없음,3000,0,0
17,q22,B,0,무설탕,건강라벨 있음,2500,1,1
17,q22,Neither,0,None,None,0,0,0
17,q23,A,1,무설탕,건강라벨 없음,2000,1,0
17,q23,B,0,무설탕,건강라벨 있음,3000,1,1
17,q23,Neither,0,None,None,0,0,0
17,q24,A,1,일반당,건강라벨 있음,2000,0,1
17,q24,B,0,일반당,건강라벨 없음,2500,0,0
17,q24,Neither,0,None,None,0,0,0
17,q25,A,1,무설탕,건강라벨 없음,2500,1,0
17,q25,B,0,일반당,건강라벨 있음,3000,0,1
17,q25,Neither,0,None,None,0,0,0
17,q26,A,0,일반당,건강라벨 있음,3000,0,1
17,q26,B,1,무설탕,건강라벨 없음,2000,1,0
17,q26,Neither,0,None,None,0,0,0
18,q21,A,1,무설탕,건강라벨 있음,2500,1,1
18,q21,B,0,일반당,건강라벨 없음,2000,0,0
18,q21,Neither,0,None,None,0,0,0
18,q22,A,0,일반당,건강라벨 없음,3000,0,0
18,q22,B,1,무설탕,건강라벨 있음,2500,1,1
18,q22,Neither,0,None,None,0,0,0
18,q23,A,1,무설탕,건강라벨 없음,2000,1,0
18,q23,B,0,무설탕,건강라벨 있음,3000,1,1
18,q23,Neither,0,None,None,0,0,0
18,q24,A,1,일반당,건강라벨 있음,2000,0,1
18,q24,B,0,일반당,건강라벨 없음,2500,0,0
18,q24,Neither,0,None,None,0,0,0
18,q25,A,1,무설탕,건강라벨 없음,2500,1,0
18,q25,B,0,일반당,건강라벨 있음,3000,0,1
18,q25,Neither,0,None,None,0,0,0
18,q26,A,0,일반당,건강라벨 있음,3000,0,1
18,q26,B,1,무설탕,건강라벨 없음,2000,1,0
18,q26,Neither,0,None,None,0,0,0
19,q21,A,1,무설탕,건강라벨 있음,2500,1,1
19,q21,B,0,일반당,건강라벨 없음,2000,0,0
