no,q16,q17
1,4,2
3,4,3
5,5,4
6,4,3
8,4,3
10,4,3
11,3,2
12,4,2
13,4,3
14,1,1
15,3,2
16,4,2
17,3,2
18,4,3
19,4,3
20,5,4
21,4,2
23,3,3
24,5,5
27,4,4
28,4,3
29,4,2
30,5,4
31,3,3
32,4,3
33,3,2
34,3,2
35,4,3
36,3,3
37,4,4
38,3,2
40,2,3
41,4,3
42,4,3
43,3,3
44,3,2
46,1,1
47,4,2
48,2,1
49,4,2
50,4,3
51,3,3
52,4,4
53,4,3
54,5,4
55,3,1
56,4,4
57,4,2
58,4,2
59,2,2
60,4,2
61,4,1
62,2,2
64,4,4
65,5,4
66,4,2
67,4,4
69,4,3
70,3,3
71,3,2
72,3,3
73,3,3
74,4,4
75,3,3
76,4,1
77,4,3
78,4,1
79,4,4
80,2,2
81,3,2
82,4,4
84,3,3
85,4,2
86,3,3
88,5,3
89,3,2
90,3,2
91,3,3
92,4,3
93,4,4
94,1,2
95,4,2
96,4,4
97,3,4
98,4,4
99,4,2
100,2,2
101,1,2
102,3,3
103,4,3
104,4,2
105,4,4
108,3,2
109,4,4
110,4,4
111,4,4
112,4,3
113,2,2
114,1,2
115,3,3
116,2,2
117,3,3
119,4,2
120,4,3
121,2,2
123,2,3
124,4,3
125,3,1
126,4,4
128,2,2
129,3,3
130,5,2
131,3,3
133,3,2
134,4,2
135,3,2
136,4,4
137,4,4
138,5,4
139,5,4
140,4,3
141,5,3
142,4,3
143,4,4
144,2,1
145,4,4
146,4,4
147,5,5
148,3,2
149,4,2
150,5,5
151,4,4
153,5,4
154,2,1
155,3,3
157,4,4
158,3,2
159,4,2
160,3,4
161,2,1
162,4,2
163,2,2
164,3,2
165,4,2
166,2,2
167,4,3
168,4,3
169,2,2
170,2,2
171,3,2
172,3,3
174,5,4
175,4,2
177,4,3
179,4,4
180,2,1
181,4,3
182,4,4
183,4,5
184,5,3
185,4,4
187,5,5
188,4,3
189,1,3
190,4,3
191,3,4
192,4,3
193,4,2
194,4,2
195,3,4
196,3,2
198,3,3
199,3,2
200,1,1
201,3,2
202,2,1
203,4,3
204,4,4
205,5,4
206,4,3
207,4,4
208,3,2
209,4,3
210,3,2
211,3,3
212,3,3
213,4,4
215,4,4
217,4,4
218,4,4
219,2,2
220,4,3
222,3,3
223,3,4
224,2,3
225,3,2
227,2,2
228,4,2
229,3,2
230,3,3
231,4,4
232,4,1
233,4,3
234,5,3
235,3,3
236,4,4
237,4,1
238,4,4
239,4,2
241,4,4
242,2,1
243,4,2
245,3,3
246,4,4
247,3,2
248,2,5
249,4,4
250,3,3
251,2,2
252,4,3
253,4,2
254,5,4
256,3,2
257,3,2
258,3,2
260,2,3
261,4,4
262,4,3
263,4,2
264,2,3
265,4,4
266,5,4
268,4,3
269,2,2
270,4,3
271,5,2
272,4,4
273,3,3
273,3,3
274,4,3
275,4,3
276,3,2
277,3,3
278,2,2
279,3,3
280,3,2
282,4,2
284,2,3
286,3,2
287,4,4
288,4,2
290,2,2
292,4,3
293,3,2
294,3,4
295,3,2
296,3,3
297,2,2
298,3,3
299,2,3
300,3,3
301,3,4
302,4,4
303,2,1
304,2,1
305,4,4
306,4,4
307,2,2
309,5,3
310,5,1
311,4,4
312,5,4
313,3,3
314,5,3
315,4,4
316,2,2
318,3,3
322,4,3
323,3,2
330,4,3
333,4,3
335,4,3
336,4,4
343,4,4
346,2,2
347,4,3
348,5,4
349,4,3
351,4,4
352,5,5
353,5,5
357,4,3
359,4,4
377,4,2
385,3,3
394,4,2
395,4,4
397,3,2
400,4,4
402,4,4
