no,q21,q22,q23,q24,q25,q26
1,1,2,1,1,1,2
3,1,2,2,1,2,1
5,1,2,1,3,1,2
6,1,2,1,1,1,2
8,1,2,2,1,2,1
10,2,2,1,1,2,2
11,1,2,2,1,1,1
12,1,2,2,1,2,1
13,1,2,1,1,1,2
14,1,2,2,1,2,1
15,1,2,2,1,1,2
16,1,2,1,3,2,2
17,2,1,1,1,1,2
18,1,2,1,1,1,2
19,1,2,1,1,1,2
20,1,2,1,3,1,2
21,2,2,1,1,1,2
23,2,2,1,1,1,2
24,1,2,1,1,1,2
27,1,1,2,1,1,1
28,1,2,1,1,1,2
29,1,2,1,1,1,2
30,1,2,1,1,1,2
31,1,2,2,1,2,1
32,1,2,1,1,1,2
33,3,3,3,1,3,3
34,2,2,1,1,1,3
35,1,2,1,1,2,2
36,1,2,2,1,1,2
37,2,1,1,1,1,2
38,1,2,1,1,2,1
40,3,3,3,3,3,3
41,2,2,1,1,1,2
42,1,2,1,3,2,1
43,1,2,1,1,1,2
44,1,2,2,1,1,2
46,1,2,1,1,1,2
47,2,2,1,1,1,2
48,3,3,3,1,3,3
49,1,2,2,1,2,1
50,1,2,2,1,1,2
51,2,2,1,1,1,2
52,1,2,1,1,1,2
53,1,2,1,1,1,2
54,1,2,2,1,1,2
55,2,2,1,1,1,2
56,1,2,1,1,1,2
57,1,2,1,1,1,2
58,1,2,2,1,1,2
59,2,2,1,1,1,2
60,2,2,2,1,1,2
61,1,2,1,1,1,1
62,1,1,1,1,1,2
64,1,2,1,1,1,2
65,1,2,2,1,1,2
66,1,2,2,1,1,2
67,1,2,1,1,1,2
69,2,2,1,1,1,2
70,1,2,3,1,3,3
71,1,2,1,1,1,2
72,2,2,1,3,2,2
73,1,2,2,1,1,1
74,1,2,1,1,1,2
75,2,1,1,2,2,1
76,1,2,1,1,1,1
77,2,2,1,1,1,2
78,1,2,2,1,1,2
79,1,2,2,1,2,1
80,1,2,2,1,1,2
81,1,2,1,1,1,2
82,1,2,1,1,1,2
84,1,2,1,1,1,2
85,1,2,2,1,1,2
86,1,2,1,1,1,2
88,1,2,2,3,1,3
89,1,2,2,1,2,2
90,2,2,1,1,1,1
91,1,2,2,1,2,1
92,1,2,1,1,1,2
93,1,2,2,3,1,2
94,1,2,1,1,2,1
95,2,1,1,1,2,1
96,1,2,2,1,1,1
97,2,1,1,2,1,2
98,1,2,2,1,1,2
99,2,2,1,1,1,2
100,1,2,2,1,1,2
101,2,2,1,1,1,2
102,2,2,1,1,1,2
103,2,2,1,1,1,2
104,2,2,1,1,1,2
105,1,2,2,1,1,2
108,1,2,3,1,3,3
109,1,2,2,1,1,2
110,1,2,2,3,3,3
111,2,2,1,1,1,2
112,1,2,2,1,2,1
113,1,2,2,1,1,2
114,1,2,2,1,1,2
115,3,3,3,3,3,3
116,1,2,2,1,2,1
117,1,2,1,1,1,2
119,1,2,2,1,2,2
120,3,2,2,1,2,2
121,3,2,2,1,2,1
123,1,1,1,1,1,1
124,2,2,1,1,1,2
125,2,1,2,1,2,1
126,1,2,1,1,1,1
128,1,2,1,1,1,2
129,2,2,1,1,1,2
130,1,2,1,1,1,2
131,1,2,1,1,2,1
133,2,1,2,2,1,1
134,1,2,2,1,2,2
135,1,2,1,3,1,2
136,2,2,1,1,1,2
137,1,1,1,1,1,2
138,1,2,1,1,1,2
139,1,2,1,1,1,2
140,1,2,1,1,2,2
141,1,2,1,1,1,2
142,1,2,1,1,1,2
143,1,2,1,1,1,2
144,3,3,3,1,1,2
145,1,2,2,1,1,2
146,1,2,2,1,1,1
147,1,2,1,1,1,2
148,1,2,2,1,1,1
149,1,2,1,1,1,2
150,1,2,2,1,1,2
151,1,1,2,2,2,1
153,1,2,1,1,1,2
154,1,2,1,1,1,2
155,1,2,2,1,1,2
157,1,2,1,1,1,3
158,1,2,1,1,3,3
159,1,2,2,3,3,3
160,1,2,2,1,1,2
161,1,2,1,1,2,1
162,1,2,2,1,2,1
163,1,2,2,1,2,1
164,1,2,1,1,2,2
165,1,2,1,1,1,2
166,1,2,1,1,1,2
167,2,2,1,1,1,2
168,1,2,1,1,1,2
169,1,2,1,1,1,2
170,1,2,3,1,1,3
171,2,2,1,1,1,2
172,1,2,1,1,1,2
174,2,2,2,1,2,1
175,1,2,2,1,2,1
177,1,2,1,1,1,2
179,1,2,2,1,1,2
180,2,2,1,1,1,2
181,1,2,2,1,1,2
182,1,2,1,1,1,2
183,1,2,1,1,1,2
184,1,1,2,1,1,2
185,1,2,2,1,1,2
187,1,2,2,3,1,2
188,3,3,3,3,3,2
189,1,2,2,1,1,2
190,1,2,1,2,1,2
191,1,2,1,1,1,2
192,1,2,2,1,2,2
193,1,2,1,1,1,2
194,1,2,1,1,1,3
195,2,1,1,1,1,2
196,3,3,1,1,1,2
198,2,2,1,1,1,2
199,2,2,1,1,1,2
200,1,2,2,1,2,1
201,2,2,2,2,2,1
202,1,2,2,1,2,2
203,1,2,1,1,1,2
204,1,2,1,1,1,2
205,1,2,1,3,1,2
206,1,2,1,1,1,2
207,2,2,1,1,3,2
208,1,2,1,1,1,2
209,1,2,1,1,1,2
210,1,2,1,1,1,1
211,1,2,2,1,1,2
212,1,1,2,2,2,1
213,1,2,2,1,1,2
215,2,1,1,1,1,2
217,3,3,3,3,3,2
218,2,2,2,1,2,1
219,1,2,2,1,2,1
220,1,2,2,1,1,2
222,3,3,3,3,3,3
223,1,2,1,1,1,2
224,1,2,1,1,1,1
225,1,2,1,1,1,2
227,2,2,1,1,1,2
228,1,2,2,1,2,1
229,2,2,1,1,1,2
230,1,1,1,1,1,2
231,1,2,2,1,1,1
232,1,2,1,3,1,2
233,2,2,1,1,1,2
234,1,2,1,1,1,2
235,1,2,1,1,1,2
236,1,1,1,2,1,1
237,1,2,2,1,1,1
238,1,2,2,1,1,2
239,1,2,2,1,3,2
241,1,2,2,1,1,2
242,1,2,1,1,1,2
243,2,2,1,1,2,2
245,2,2,1,1,1,2
246,1,2,2,1,1,2
247,1,2,1,1,1,2
248,1,2,3,3,1,2
249,1,2,2,1,2,1
250,1,2,2,1,2,1
251,1,2,2,1,2,1
252,2,1,3,1,2,1
253,2,2,1,1,1,1
254,1,2,1,1,1,2
256,1,2,1,1,1,2
257,2,2,1,1,1,2
258,1,2,1,1,2,1
260,1,2,2,1,1,1
261,2,2,1,1,1,2
262,1,2,2,3,1,2
263,3,2,1,1,1,2
264,1,2,1,1,1,2
265,1,2,1,1,2,2
266,1,2,1,3,1,2
268,1,2,2,1,1,2
269,2,2,1,1,1,2
270,1,2,2,3,1,2
271,1,2,2,1,2,2
272,1,2,1,1,2,1
273,1,2,1,1,1,2
273,1,2,2,1,1,2
274,1,2,2,1,1,2
275,1,2,2,1,2,1
276,2,2,1,1,1,2
277,1,2,2,3,3,3
278,1,2,2,1,2,1
279,1,2,2,1,1,2
280,2,2,2,1,2,1
282,1,2,2,1,2,1
284,1,2,2,1,1,2
286,1,2,2,1,2,2
287,1,2,1,1,2,1
288,1,2,1,1,1,2
290,2,1,2,1,2,1
292,3,2,3,1,1,2
