no,q1,q2_1,q3,q4,q5
1,0,32,2,2,1
3,0,40,3,3,1
5,1,28,1,1,8
6,0,56,4,4,1
8,1,38,2,2,3
10,1,38,2,2,6
11,0,44,3,3,4
12,1,53,4,4,1
13,1,42,3,3,1
14,0,47,3,3,1
15,1,62,5,4,8
16,0,61,5,4,1
17,0,44,3,3,8
18,1,33,2,2,4
19,1,30,2,2,8
20,1,28,1,1,7
21,0,31,2,2,1
23,0,46,3,3,5
24,0,36,2,2,8
27,0,39,2,2,4
28,1,34,2,2,8
29,1,44,3,3,1
30,0,31,2,2,1
31,0,54,4,4,5
32,1,43,3,3,2
33,1,50,4,4,1
34,0,46,3,3,1
35,0,46,3,3,8
36,0,45,3,3,1
37,1,24,1,1,4
38,0,54,4,4,12
40,1,50,4,4,4
41,1,52,4,4,1
42,1,38,2,2,9
43,1,37,2,2,2
44,1,60,5,4,1
46,1,43,3,3,1
47,0,41,3,3,8
48,0,40,3,3,4
49,1,60,5,4,1
50,1,42,3,3,1
51,1,44,3,3,6
52,0,44,3,3,8
53,1,38,2,2,4
54,1,24,1,1,2
55,0,58,4,4,12
56,0,32,2,2,5
57,1,43,3,3,4
58,1,39,2,2,6
59,0,52,4,4,1
60,0,64,5,4,6
61,1,51,4,4,8
62,1,43,3,3,15
64,1,32,2,2,2
65,0,47,3,3,1
66,1,41,3,3,8
67,1,29,1,1,8
69,0,39,2,2,8
70,1,47,3,3,1
71,0,50,4,4,15
72,0,35,2,2,8
73,0,58,4,4,8
74,1,34,2,2,1
75,0,32,2,2,1
76,0,57,4,4,8
77,0,29,1,1,4
78,1,51,4,4,1
79,1,41,3,3,8
80,1,35,2,2,1
81,1,33,2,2,1
82,1,28,1,1,8
84,0,42,3,3,3
85,1,50,4,4,2
86,0,55,4,4,6
88,1,36,2,2,1
89,0,52,4,4,1
90,0,64,5,4,8
91,0,52,4,4,1
92,1,63,5,4,1
93,0,56,4,4,8
94,0,45,3,3,4
95,1,50,4,4,1
96,1,48,3,3,1
97,0,36,2,2,1
98,1,57,4,4,1
99,1,35,2,2,15
100,1,46,3,3,11
101,0,47,3,3,13
102,0,39,2,2,14
103,0,34,2,2,1
104,1,34,2,2,1
105,1,37,2,2,8
108,1,52,4,4,4
109,1,43,3,3,14
110,1,49,3,3,1
111,0,32,2,2,8
112,1,49,3,3,8
113,0,55,4,4,5
114,0,55,4,4,8
115,0,46,3,3,8
116,0,56,4,4,2
117,1,47,3,3,5
119,1,42,3,3,2
120,0,42,3,3,8
121,1,49,3,3,1
123,0,48,3,3,7
124,0,39,2,2,6
125,1,40,3,3,8
126,1,29,1,1,1
128,1,29,1,1,8
129,0,30,2,2,11
130,0,31,2,2,8
131,0,26,1,1,1
133,0,31,2,2,1
134,0,44,3,3,13
135,1,33,2,2,3
136,0,38,2,2,1
137,0,41,3,3,3
138,0,46,3,3,8
139,1,27,1,1,6
140,0,47,3,3,8
141,0,34,2,2,10
142,0,36,2,2,8
143,1,36,2,2,8
144,1,49,3,3,1
145,0,69,5,4,3
146,0,67,5,4,1
147,0,35,2,2,3
148,1,58,4,4,11
149,1,31,2,2,8
150,1,41,3,3,15
151,0,47,3,3,8
153,0,36,2,2,12
154,0,59,4,4,15
155,0,59,4,4,1
157,0,41,3,3,13
158,0,52,4,4,1
159,1,43,3,3,8
160,0,34,2,2,13
161,1,47,3,3,8
162,0,44,3,3,4
163,1,55,4,4,9
164,1,29,1,1,12
165,1,31,2,2,1
166,0,40,3,3,8
167,1,34,2,2,8
168,0,34,2,2,1
169,1,62,5,4,3
170,1,54,4,4,2
171,1,27,1,1,5
172,1,33,2,2,1
174,1,27,1,1,2
175,1,52,4,4,1
177,0,60,5,4,12
179,1,30,2,2,1
180,0,35,2,2,2
181,1,34,2,2,1
182,0,31,2,2,15
183,1,27,1,1,8
184,1,52,4,4,1
185,1,35,2,2,1
187,1,30,2,2,1
188,0,27,1,1,8
189,0,30,2,2,12
190,0,55,4,4,4
191,0,59,4,4,8
192,0,22,1,1,9
193,0,38,2,2,1
194,1,53,4,4,1
195,1,43,3,3,2
196,0,29,1,1,5
198,0,35,2,2,2
199,0,56,4,4,4
200,0,40,3,3,6
201,0,55,4,4,8
202,0,44,3,3,8
203,0,40,3,3,1
204,1,26,1,1,4
205,1,37,2,2,1
206,1,29,1,1,1
207,1,31,2,2,4
208,1,60,5,4,8
209,0,47,3,3,2
210,1,45,3,3,11
211,0,54,4,4,4
212,1,59,4,4,3
213,1,33,2,2,1
215,0,44,3,3,12
217,0,27,1,1,12
218,0,47,3,3,12
219,0,46,3,3,1
220,1,36,2,2,3
222,0,60,5,4,8
223,0,28,1,1,8
224,1,23,1,1,4
225,1,56,4,4,6
227,0,41,3,3,1
228,0,42,3,3,6
229,0,51,4,4,9
230,0,54,4,4,4
231,0,58,4,4,8
232,1,62,5,4,1
233,0,41,3,3,15
234,0,29,1,1,1
235,1,44,3,3,8
236,0,48,3,3,1
237,0,25,1,1,8
238,0,69,5,4,12
239,0,36,2,2,15
241,1,28,1,1,5
242,0,21,1,1,8
243,1,51,4,4,8
245,1,30,2,2,8
246,0,36,2,2,7
247,0,29,1,1,8
248,1,34,2,2,1
249,0,49,3,3,14
250,0,56,4,4,8
251,1,59,4,4,8
252,0,27,1,1,8
253,1,23,1,1,12
254,1,28,1,1,4
256,0,22,1,1,3
257,0,44,3,3,8
258,1,42,3,3,13
260,1,54,4,4,1
261,1,24,1,1,4
262,0,33,2,2,13
263,0,39,2,2,13
264,0,55,4,4,4
265,1,23,1,1,8
266,1,27,1,1,8
268,1,54,4,4,8
269,0,54,4,4,8
270,0,54,4,4,14
271,1,22,1,1,5
272,0,26,1,1,8
273,1,58,4,4,4
273,0,51,4,4,1
274,1,42,3,3,8
