no,q50,q51,q51_14,q52,q53,q54,q55,q56
1,1,13,,4,1,2,2,3
3,3,6,,4,0,2,3,3
5,2,6,,2,1,2,2,2
6,5,9,,4,1,1,3,3
8,2,3,,4,1,1,3,3
10,2,6,,4,1,2,4,4
11,3,6,,4,1,1,3,2
12,5,11,,4,1,2,2,2
13,1,11,,4,1,1,2,2
14,1,13,,6,1,1,3,3
15,2,11,,4,1,2,3,3
16,5,4,,6,1,1,2,3
17,4,6,,4,1,2,3,3
18,3,6,,4,1,2,3,3
19,2,6,,4,1,2,3,3
20,2,6,,4,1,1,1,2
21,2,10,,4,1,1,2,3
23,5,3,,6,0,2,4,4
24,4,6,,4,1,1,1,1
27,3,9,,2,1,1,2,2
28,2,6,,4,0,2,3,3
29,4,6,,6,1,1,3,3
30,1,12,,5,1,1,2,2
31,4,6,,4,1,2,3,3
32,3,6,,4,1,1,2,3
33,1,6,,4,0,2,3,3
34,4,6,,4,1,1,3,3
35,3,8,,4,1,2,3,2
36,5,6,,6,1,2,2,2
37,2,8,,2,1,2,3,4
38,5,6,,4,0,2,3,3
40,2,6,,4,0,2,3,3
41,2,8,,4,1,2,1,3
42,3,6,,4,1,2,2,2
43,2,8,,2,1,1,3,4
44,1,10,,4,1,1,1,2
46,3,4,,4,1,1,3,3
47,4,6,,4,1,2,2,3
48,3,4,,4,1,2,2,2
49,5,10,,6,0,2,2,2
50,4,6,,4,1,2,3,3
51,5,11,,4,1,2,1,1
52,5,6,,4,1,2,3,3
53,2,6,,2,1,1,1,2
54,1,13,,6,1,1,2,2
55,4,4,,6,1,1,3,2
56,3,2,,4,1,1,4,3
57,5,6,,4,1,1,3,3
58,3,6,,4,1,2,3,3
59,3,2,,6,1,1,4,2
60,3,6,,4,1,2,3,3
61,4,6,,4,1,1,3,3
62,3,6,,4,1,1,3,3
64,3,6,,4,1,1,3,3
65,1,9,,6,1,1,2,2
66,3,6,,4,1,2,4,4
67,5,6,,4,1,1,2,3
69,3,6,,4,0,2,3,3
70,5,6,,4,1,2,3,1
71,4,9,,2,1,1,2,2
72,2,4,,4,1,2,3,3
73,2,10,,2,1,1,3,3
74,3,6,,4,1,1,3,3
75,2,8,,2,1,1,2,3
76,4,6,,4,1,1,2,2
77,1,10,,4,1,2,4,4
78,2,6,,4,0,2,2,2
79,2,10,,4,1,1,3,2
80,4,9,,4,1,2,2,2
81,2,3,,4,1,1,2,3
82,5,4,,4,1,1,2,2
84,2,7,,4,1,1,1,2
85,1,6,,2,1,2,3,3
86,5,7,,4,1,2,3,3
88,2,6,,4,1,1,2,2
89,4,6,,4,1,1,2,2
90,4,13,,4,1,1,1,2
91,5,6,,4,0,2,3,3
92,3,11,,4,1,1,4,4
93,5,6,,4,1,2,3,3
94,1,7,,2,1,2,2,1
95,2,10,,2,1,2,3,3
96,5,6,,4,1,1,1,1
97,5,6,,4,0,1,3,3
98,2,11,,4,1,1,2,2
99,2,3,,4,1,1,3,3
100,5,6,,4,1,2,2,3
101,4,8,,4,1,2,4,2
102,3,14,운송,2,1,1,3,3
103,1,13,,4,1,2,3,3
104,2,8,,4,1,2,3,2
105,5,6,,4,1,1,1,1
108,4,11,,2,1,1,3,3
