no,q12,q13,q14,q15,q16,q17
1,4,3,3,4,4,2
3,4,3,3,3,4,3
5,5,4,4,4,5,4
6,4,3,3,4,4,3
8,4,3,3,3,4,3
10,4,3,3,4,4,3
11,4,3,4,2,3,2
12,4,2,3,3,4,2
13,4,1,4,5,4,3
14,2,2,2,1,1,1
15,3,2,2,3,3,2
16,4,4,4,3,4,2
17,3,2,2,3,3,2
18,4,3,3,4,4,3
19,4,3,3,4,4,3
20,5,3,5,5,5,4
21,2,2,3,2,4,2
23,2,2,3,3,3,3
24,5,4,5,5,5,5
27,4,3,4,4,4,4
28,3,3,3,4,4,3
29,4,3,3,4,4,2
30,5,5,5,5,5,4
31,4,3,4,3,3,3
32,4,2,4,4,4,3
33,2,2,3,3,3,2
34,3,3,2,3,3,2
35,4,3,3,3,4,3
36,4,2,3,3,3,3
37,4,1,2,4,4,4
38,3,3,3,2,3,2
40,3,3,3,3,2,3
41,4,2,4,4,4,3
42,2,2,2,3,4,3
43,3,2,3,3,3,3
44,3,2,4,3,3,2
46,4,2,3,2,1,1
47,4,4,2,3,4,2
48,3,3,2,5,2,1
49,4,2,4,4,4,2
50,3,2,3,3,4,3
51,3,2,3,3,3,3
52,4,4,4,4,4,4
53,4,3,4,4,4,3
54,5,4,5,5,5,4
55,3,2,2,3,3,1
56,4,1,3,3,4,4
57,3,2,3,4,4,2
58,4,3,3,4,4,2
59,3,2,3,2,2,2
60,3,2,3,3,4,2
61,3,2,3,4,4,1
62,2,2,2,3,2,2
64,4,3,4,4,4,4
65,5,2,4,5,5,4
66,1,2,2,3,4,2
67,4,3,4,4,4,4
69,4,2,3,4,4,3
70,4,3,4,4,3,3
71,4,3,3,4,3,2
72,3,3,3,2,3,3
73,3,3,3,3,3,3
74,4,3,4,5,4,4
75,4,4,4,3,3,3
76,3,1,3,4,4,1
77,3,2,3,4,4,3
78,3,2,3,4,4,1
79,4,2,4,4,4,4
80,4,4,4,4,2,2
81,3,2,2,4,3,2
82,5,4,4,5,4,4
84,4,4,4,3,3,3
85,3,2,2,4,4,2
86,2,4,3,2,3,3
88,5,4,4,5,5,3
89,2,2,2,2,3,2
90,2,5,2,3,3,2
91,3,1,3,3,3,3
92,4,2,3,4,4,3
93,4,3,4,4,4,4
94,2,3,4,5,1,2
95,2,1,2,3,4,2
96,4,3,4,4,4,4
97,4,3,3,4,3,4
98,4,2,4,4,4,4
99,4,2,4,4,4,2
100,3,3,3,3,2,2
101,2,2,2,2,1,2
102,3,2,2,3,3,3
103,4,4,4,4,4,3
104,4,3,3,4,4,2
105,5,4,4,4,4,4
108,3,2,2,4,3,2
109,4,4,4,4,4,4
110,4,2,4,4,4,4
111,4,2,3,4,4,4
112,3,2,3,4,4,3
113,4,2,4,4,2,2
114,4,4,4,4,1,2
115,2,3,2,2,3,3
116,2,2,3,3,2,2
117,3,2,3,3,3,3
119,4,2,3,3,4,2
120,2,3,3,3,4,3
121,2,2,2,2,2,2
123,4,2,3,3,2,3
124,3,3,3,4,4,3
125,1,1,1,1,3,1
126,4,4,4,4,4,4
128,4,2,3,4,2,2
129,4,3,3,4,3,3
130,3,1,5,5,5,2
131,3,3,3,2,3,3
133,4,3,4,5,3,2
134,4,3,4,4,4,2
135,2,3,3,3,3,2
136,4,1,5,4,4,4
137,4,3,4,4,4,4
138,3,3,4,4,5,4
139,4,2,3,4,5,4
140,3,2,4,5,4,3
141,5,3,5,5,5,3
142,4,3,4,4,4,3
143,4,4,4,5,4,4
144,2,1,1,1,2,1
145,4,2,4,4,4,4
146,4,2,4,4,4,4
147,5,5,5,5,5,5
148,3,2,3,2,3,2
149,4,3,4,4,4,2
150,4,2,4,4,5,5
151,4,1,4,4,4,4
153,4,4,4,5,5,4
154,4,2,3,3,2,1
155,3,3,3,3,3,3
157,4,3,4,4,4,4
158,3,2,3,3,3,2
159,2,1,1,4,4,2
160,4,4,5,5,3,4
161,3,2,3,2,2,1
162,3,2,3,4,4,2
163,4,2,4,4,2,2
164,3,1,3,4,3,2
165,4,2,3,4,4,2
166,3,2,3,3,2,2
167,4,3,2,3,4,3
168,3,3,3,4,4,3
169,4,2,4,4,2,2
170,4,3,4,4,2,2
171,3,3,2,3,3,2
172,3,2,3,3,3,3
174,3,2,2,2,5,4
175,3,2,3,4,4,2
177,4,3,4,4,4,3
179,5,2,5,5,4,4
180,2,2,1,3,2,1
181,4,3,4,4,4,3
182,4,3,4,4,4,4
183,5,1,5,5,4,5
184,4,1,3,4,5,3
185,4,3,4,4,4,4
187,5,3,4,5,5,5
188,3,3,4,4,4,3
189,4,2,2,4,1,3
190,4,4,4,4,4,3
191,4,3,4,4,3,4
192,4,2,3,4,4,3
193,2,3,2,3,4,2
194,3,2,3,4,4,2
195,4,1,3,4,3,4
196,3,3,3,3,3,2
198,4,4,4,4,3,3
199,3,3,2,3,3,2
200,3,1,3,3,1,1
201,4,3,3,4,3,2
202,3,2,2,4,2,1
203,3,3,3,4,4,3
204,4,3,3,4,4,4
205,4,2,5,4,5,4
206,3,2,4,4,4,3
207,4,3,3,4,4,4
208,3,2,2,2,3,2
209,4,3,3,4,4,3
210,3,3,2,3,3,2
211,4,4,3,3,3,3
212,3,3,3,3,3,3
213,3,4,4,4,4,4
215,3,2,2,4,4,4
217,4,1,5,5,4,4
218,4,3,4,4,4,4
219,3,3,2,2,2,2
220,4,3,3,2,4,3
222,3,2,3,3,3,3
223,3,3,3,3,3,4
224,5,1,5,5,2,3
225,4,2,3,3,3,2
227,3,2,2,2,2,2
228,3,3,3,3,4,2
229,3,2,3,3,3,2
230,4,3,3,3,3,3
231,4,3,3,4,4,4
232,3,1,2,1,4,1
233,4,1,2,4,4,3
234,5,3,4,5,5,3
235,4,3,4,5,3,3
236,5,2,4,4,4,4
237,4,1,4,4,4,1
238,4,3,4,4,4,4
239,3,2,2,2,4,2
241,4,4,4,4,4,4
242,4,4,4,4,2,1
243,2,2,2,3,4,2
245,3,3,3,3,3,3
246,3,4,4,3,4,4
247,3,2,3,3,3,2
248,4,3,4,4,2,5
249,3,2,3,4,4,4
250,4,3,3,2,3,3
251,2,2,2,2,2,2
252,3,2,4,3,4,3
253,3,3,4,3,4,2
254,4,3,5,5,5,4
256,3,2,3,3,3,2
257,3,3,3,4,3,2
258,2,2,2,3,3,2
260,3,2,3,3,2,3
261,5,2,4,5,4,4
262,4,2,4,4,4,3
263,3,4,4,4,4,2
264,2,2,2,3,2,3
265,4,2,3,4,4,4
266,5,4,5,5,5,4
268,4,3,3,3,4,3
269,3,2,2,2,2,2
270,4,4,4,4,4,3
271,3,2,3,3,5,2
272,3,3,4,3,4,4
273,4,4,4,4,3,3
273,4,3,3,4,3,3
274,4,3,3,3,4,3
275,4,2,3,4,4,3
276,4,2,2,3,3,2
277,3,2,3,3,3,3
278,3,4,3,3,2,2
279,3,2,4,4,3,3
280,2,2,2,4,3,2
282,3,2,3,4,4,2
284,4,3,3,4,2,3
286,4,3,4,3,3,2
287,4,3,4,3,4,4
288,4,2,5,5,4,2
290,2,2,2,2,2,2
292,4,3,3,2,4,3
293,3,2,3,4,3,2
294,4,3,4,4,3,4
295,3,3,3,3,3,2
296,3,3,4,3,3,3
297,3,2,2,3,2,2
298,4,3,3,4,3,3
299,3,2,3,3,2,3
300,3,3,4,4,3,3
301,5,4,4,3,3,4
302,5,2,4,5,4,4
303,4,2,2,5,2,1
304,2,2,2,2,2,1
305,4,2,3,4,4,4
306,4,3,4,4,4,4
307,2,2,3,3,2,2
309,3,1,3,4,5,3
310,3,1,4,4,5,1
311,4,3,3,4,4,4
312,3,2,2,4,5,4
313,3,3,4,4,3,3
314,3,2,2,3,5,3
315,3,3,3,4,4,4
316,4,2,4,4,2,2
318,3,2,4,3,3,3
322,4,4,4,4,4,3
323,3,2,2,3,3,2
330,4,3,3,4,4,3
333,3,2,3,4,4,3
335,4,2,3,4,4,3
336,3,1,4,4,4,4
343,4,2,3,3,4,4
346,4,2,3,4,2,2
347,4,2,3,3,4,3
348,4,3,4,4,5,4
349,3,1,2,3,4,3
351,4,3,3,3,4,4
352,5,4,4,5,5,5
353,5,3,5,5,5,5
357,3,2,3,4,4,3
359,4,3,4,4,4,4
377,4,1,3,4,4,2
385,3,3,4,4,3,3
394,4,1,4,4,4,2
395,4,3,4,4,4,4
397,3,1,3,4,3,2
400,4,2,4,4,4,4
402,4,3,4,5,4,4
