Item,Factor,Loading,SE,Z_value,P_value,Significant
q6,health_concern,1.0,-,-,,False
q7,health_concern,0.9196,0.0361361372332976,25.447704938347172,0.0,True
q8,health_concern,0.7321,0.038028129505170524,19.252800776196906,0.0,True
q9,health_concern,0.7948,0.03342184123360807,23.782070814804953,0.0,True
q10,health_concern,0.7222,0.0363942873538199,19.84332798413275,0.0,True
q11,health_concern,0.8738,0.03624830306487164,24.10488995662218,0.0,True
q12,perceived_benefit,1.0,-,-,,False
q13,perceived_benefit,0.4058,0.04820741680969632,8.417624997888623,0.0,True
q14,perceived_benefit,0.9053,0.03518036390170991,25.733761285512067,0.0,True
q15,perceived_benefit,0.7992,0.03870884647874997,20.645993869334998,0.0,True
q16,perceived_benefit,0.638,0.047929946902890215,13.311075051106476,0.0,True
q17,perceived_benefit,0.7871,0.047228529069350794,16.6658559471967,0.0,True
q18,purchase_intention,1.0,-,-,,False
q19,purchase_intention,1.0667,0.03037665073084309,35.11414807582531,0.0,True
q20,purchase_intention,1.0086,0.030812144936447974,32.732292962300306,0.0,True
q27,perceived_price,1.0,-,-,,False
q28,perceived_price,0.5286,0.04261162890897688,12.40519306700239,0.0,True
q29,perceived_price,0.8456,0.04066744694611706,20.793609012504078,0.0,True
q30,nutrition_knowledge,1.0,-,-,,False
q31,nutrition_knowledge,0.4658,0.046517314361291445,10.013575400796945,0.0,True
q32,nutrition_knowledge,0.681,0.044534860129141346,15.291702172159132,0.0,True
q33,nutrition_knowledge,-0.4137,0.04904896621676582,-8.434489842900112,0.0,True
q34,nutrition_knowledge,0.8605,0.050999608582971326,16.87218177741842,0.0,True
q35,nutrition_knowledge,0.762,0.04521640885701096,16.85209597186792,0.0,True
q36,nutrition_knowledge,0.7449,0.05357990633318422,13.90250630268439,0.0,True
q37,nutrition_knowledge,-0.0938,0.05145046461447536,-1.8225813154814847,0.0684,False
q38,nutrition_knowledge,0.9173,0.053178957487177964,17.248893517480496,0.0,True
q39,nutrition_knowledge,0.8586,0.049472566921211894,17.354584629461566,0.0,True
q40,nutrition_knowledge,-0.2466,0.049833153344922484,-4.948086370295671,0.0,True
q41,nutrition_knowledge,0.2077,0.047006099857345635,4.418333075145432,0.0,True
q42,nutrition_knowledge,0.8514,0.04706977793765974,18.08902938402805,0.0,True
q43,nutrition_knowledge,0.8169,0.044762017620010704,18.250773126228246,0.0,True
q44,nutrition_knowledge,0.874,0.0461000553700642,18.95896190679618,0.0,True
q45,nutrition_knowledge,0.9637,0.04300188213409084,22.410435124879527,0.0,True
q46,nutrition_knowledge,0.771,0.046600417827506686,16.544336234612576,0.0,True
q47,nutrition_knowledge,-0.7764,0.047135831203591196,-16.472392509068047,0.0,True
q48,nutrition_knowledge,0.5187,0.04557938861910616,11.38028553684737,0.0,True
q49,nutrition_knowledge,0.5238,0.05631227875321553,9.302349329314302,0.0,True
