Category,Item,Value
Basic Info,Number of Latent Variables,5
Basic Info,Latent Variables,"nutrition_knowledge, perceived_price, perceived_benefit, health_concern, purchase_intention"
Path Coverage,Total Possible Paths,20
Path Coverage,Current Paths in Model,15
Path Coverage,Missing Paths,5
Path Coverage,Coverage Ratio,75.0%
Current Paths,Path 1,health_concern → perceived_benefit
Current Paths,Path 2,nutrition_knowledge → perceived_benefit
Current Paths,Path 3,perceived_price → perceived_benefit
Current Paths,Path 4,health_concern → perceived_price
Current Paths,Path 5,nutrition_knowledge → perceived_price
Current Paths,Path 6,perceived_benefit → perceived_price
Current Paths,Path 7,health_concern → nutrition_knowledge
Current Paths,Path 8,perceived_benefit → nutrition_knowledge
Current Paths,Path 9,health_concern → purchase_intention
Current Paths,Path 10,nutrition_knowledge → purchase_intention
Current Paths,Path 11,perceived_benefit → purchase_intention
Current Paths,Path 12,perceived_price → purchase_intention
Current Paths,Path 13,nutrition_knowledge → health_concern
Current Paths,Path 14,perceived_benefit → health_concern
Current Paths,Path 15,purchase_intention → health_concern
Missing Paths,Missing Path 1,perceived_price → nutrition_knowledge
Missing Paths,Missing Path 2,perceived_price → health_concern
Missing Paths,Missing Path 3,purchase_intention → nutrition_knowledge
Missing Paths,Missing Path 4,purchase_intention → perceived_price
Missing Paths,Missing Path 5,purchase_intention → perceived_benefit
