Item,Factor,Loading,SE,Z_value,P_value,Significant,Analysis_Type,Sample_Size
q6,health_concern,1.0,-,-,,False,multiple_factors,300
q7,health_concern,0.9196,0.03613613723330004,25.447704938352082,0.0,True,multiple_factors,300
q8,health_concern,0.7321,0.038028129505164106,19.252800776196416,0.0,True,multiple_factors,300
q9,health_concern,0.7948,0.03342184123360847,23.782070814806936,0.0,True,multiple_factors,300
q10,health_concern,0.7222,0.03639428735381854,19.84332798413592,0.0,True,multiple_factors,300
q11,health_concern,0.8738,0.036248303064872686,24.104889956625257,0.0,True,multiple_factors,300
q12,perceived_benefit,1.0,-,-,,False,multiple_factors,300
q13,perceived_benefit,0.4058,0.04820741680969513,8.417624997889309,0.0,True,multiple_factors,300
q14,perceived_benefit,0.9053,0.03518036390170911,25.733761285515584,0.0,True,multiple_factors,300
q15,perceived_benefit,0.7992,0.03870884647874984,20.645993869337573,0.0,True,multiple_factors,300
q16,perceived_benefit,0.638,0.0479299469028911,13.311075051106585,0.0,True,multiple_factors,300
q17,perceived_benefit,0.7871,0.04722852906935274,16.665855947196818,0.0,True,multiple_factors,300
q18,purchase_intention,1.0,-,-,,False,multiple_factors,300
q19,purchase_intention,1.0667,0.03037665073084473,35.11414807582273,0.0,True,multiple_factors,300
q20,purchase_intention,1.0086,0.03081214493644995,32.73229296230004,0.0,True,multiple_factors,300
q27,perceived_price,1.0,-,-,,False,multiple_factors,300
q28,perceived_price,0.5286,0.042611628908971876,12.405193067004557,0.0,True,multiple_factors,300
q29,perceived_price,0.8456,0.040667446946114565,20.79360901250668,0.0,True,multiple_factors,300
q30,nutrition_knowledge,1.0,-,-,,False,multiple_factors,300
q31,nutrition_knowledge,0.4658,0.04651731436129211,10.013575400796354,0.0,True,multiple_factors,300
q32,nutrition_knowledge,0.681,0.04453486012914143,15.291702172158452,0.0,True,multiple_factors,300
q33,nutrition_knowledge,-0.4137,0.04904896621676602,-8.434489842899684,0.0,True,multiple_factors,300
q34,nutrition_knowledge,0.8605,0.05099960858297209,16.87218177741725,0.0,True,multiple_factors,300
q35,nutrition_knowledge,0.762,0.04521640885700916,16.85209597186715,0.0,True,multiple_factors,300
q36,nutrition_knowledge,0.7449,0.05357990633318532,13.902506302684179,0.0,True,multiple_factors,300
q37,nutrition_knowledge,-0.0938,0.05145046461447333,-1.8225813154815291,0.0684,False,multiple_factors,300
q38,nutrition_knowledge,0.9173,0.053178957487177866,17.248893517480017,0.0,True,multiple_factors,300
q39,nutrition_knowledge,0.8586,0.049472566921212616,17.354584629460742,0.0,True,multiple_factors,300
q40,nutrition_knowledge,-0.2466,0.049833153344921825,-4.948086370295699,0.0,True,multiple_factors,300
q41,nutrition_knowledge,0.2077,0.047006099857343844,4.418333075144967,0.0,True,multiple_factors,300
q42,nutrition_knowledge,0.8514,0.04706977793765434,18.089029384028606,0.0,True,multiple_factors,300
q43,nutrition_knowledge,0.8169,0.04476201762000689,18.250773126228076,0.0,True,multiple_factors,300
q44,nutrition_knowledge,0.874,0.046100055370063876,18.95896190679526,0.0,True,multiple_factors,300
q45,nutrition_knowledge,0.9637,0.043001882134093825,22.41043512487732,0.0,True,multiple_factors,300
q46,nutrition_knowledge,0.771,0.04660041782750429,16.544336234612967,0.0,True,multiple_factors,300
q47,nutrition_knowledge,-0.7764,0.04713583120358991,-16.47239250906789,0.0,True,multiple_factors,300
q48,nutrition_knowledge,0.5187,0.045579388619106535,11.380285536847287,0.0,True,multiple_factors,300
q49,nutrition_knowledge,0.5238,0.05631227875321387,9.302349329313857,0.0,True,multiple_factors,300
