Item,Factor,Loading,SE,Z_value,P_value,Significant,Analysis_Type,Sample_Size
q6,health_concern,1.0,-,-,,False,multiple_factors,300
q7,health_concern,0.9196,0.03613613723329802,25.44770493834811,0.0,True,multiple_factors,300
q8,health_concern,0.7321,0.0380281295051584,19.252800776201052,0.0,True,multiple_factors,300
q9,health_concern,0.7948,0.033421841233607245,23.782070814803557,0.0,True,multiple_factors,300
q10,health_concern,0.7222,0.036394287353821005,19.843327984132202,0.0,True,multiple_factors,300
q11,health_concern,0.8738,0.03624830306487071,24.104889956622095,0.0,True,multiple_factors,300
q12,perceived_benefit,1.0,-,-,,False,multiple_factors,300
q13,perceived_benefit,0.4058,0.04820741680969786,8.417624997886996,0.0,True,multiple_factors,300
q14,perceived_benefit,0.9053,0.03518036390170633,25.733761285512724,0.0,True,multiple_factors,300
q15,perceived_benefit,0.7992,0.038708846478745784,20.645993869337232,0.0,True,multiple_factors,300
q16,perceived_benefit,0.638,0.047929946902891526,13.311075051104599,0.0,True,multiple_factors,300
q17,perceived_benefit,0.7871,0.047228529069352876,16.665855947194913,0.0,True,multiple_factors,300
q18,purchase_intention,1.0,-,-,,False,multiple_factors,300
q19,purchase_intention,1.0667,0.030376650730842124,35.11414807582609,0.0,True,multiple_factors,300
q20,purchase_intention,1.0086,0.03081214493644697,32.732292962303646,0.0,True,multiple_factors,300
q27,perceived_price,1.0,-,-,,False,multiple_factors,300
q28,perceived_price,0.5286,0.04261162890898378,12.405193066993094,0.0,True,multiple_factors,300
q29,perceived_price,0.8456,0.04066744694612578,20.793609012489746,0.0,True,multiple_factors,300
q30,nutrition_knowledge,1.0,-,-,,False,multiple_factors,300
q31,nutrition_knowledge,0.4658,0.04651731436129363,10.013575400796801,0.0,True,multiple_factors,300
q32,nutrition_knowledge,0.681,0.044534860129141936,15.291702172159713,0.0,True,multiple_factors,300
q33,nutrition_knowledge,0.4137,0.04904896621676879,8.434489842899767,0.0,True,multiple_factors,300
q34,nutrition_knowledge,0.8605,0.05099960858297238,16.872181777418444,0.0,True,multiple_factors,300
q35,nutrition_knowledge,0.762,0.0452164088570111,16.852095971868266,0.0,True,multiple_factors,300
q36,nutrition_knowledge,0.7449,0.05357990633318548,13.902506302684007,0.0,True,multiple_factors,300
q37,nutrition_knowledge,0.0938,0.0514504646144797,1.8225813154818142,0.0684,False,multiple_factors,300
q38,nutrition_knowledge,0.9173,0.05317895748717856,17.248893517480795,0.0,True,multiple_factors,300
q39,nutrition_knowledge,0.8586,0.04947256692121319,17.354584629461595,0.0,True,multiple_factors,300
q40,nutrition_knowledge,0.2466,0.049833153344926384,4.948086370295328,0.0,True,multiple_factors,300
q41,nutrition_knowledge,-0.2077,0.04700609985734973,-4.41833307514505,0.0,True,multiple_factors,300
q42,nutrition_knowledge,0.8514,0.047069777937659533,18.089029384028787,0.0,True,multiple_factors,300
q43,nutrition_knowledge,0.8169,0.04476201762001355,18.25077312622801,0.0,True,multiple_factors,300
q44,nutrition_knowledge,0.874,0.04610005537006425,18.958961906796716,0.0,True,multiple_factors,300
q45,nutrition_knowledge,0.9637,0.04300188213410009,22.410435124875796,0.0,True,multiple_factors,300
q46,nutrition_knowledge,0.771,0.04660041782750783,16.544336234613198,0.0,True,multiple_factors,300
q47,nutrition_knowledge,0.7764,0.04713583120359185,16.472392509068662,0.0,True,multiple_factors,300
q48,nutrition_knowledge,0.5187,0.04557938861910791,11.380285536847671,0.0,True,multiple_factors,300
q49,nutrition_knowledge,0.5238,0.056312278753219085,9.302349329314355,0.0,True,multiple_factors,300
