Factor,Item,Loading,Abs_Loading,Loading_Level,Acceptable
health_concern,q6,1.0,1.0,High (≥0.7),True
health_concern,q7,0.9196,0.9196,High (≥0.7),True
health_concern,q8,0.7321,0.7321,High (≥0.7),True
health_concern,q9,0.7948,0.7948,High (≥0.7),True
health_concern,q10,0.7222,0.7222,High (≥0.7),True
health_concern,q11,0.8738,0.8738,High (≥0.7),True
perceived_benefit,q12,1.0,1.0,High (≥0.7),True
perceived_benefit,q13,0.4058,0.4058,Low (<0.5),False
perceived_benefit,q14,0.9053,0.9053,High (≥0.7),True
perceived_benefit,q15,0.7992,0.7992,High (≥0.7),True
perceived_benefit,q16,0.638,0.638,Medium (0.5-0.7),True
perceived_benefit,q17,0.7871,0.7871,High (≥0.7),True
purchase_intention,q18,1.0,1.0,High (≥0.7),True
purchase_intention,q19,1.0667,1.0667,High (≥0.7),True
purchase_intention,q20,1.0086,1.0086,High (≥0.7),True
perceived_price,q27,1.0,1.0,High (≥0.7),True
perceived_price,q28,0.5286,0.5286,Medium (0.5-0.7),True
perceived_price,q29,0.8456,0.8456,High (≥0.7),True
nutrition_knowledge,q30,1.0,1.0,High (≥0.7),True
nutrition_knowledge,q31,0.4658,0.4658,Low (<0.5),False
nutrition_knowledge,q32,0.681,0.681,Medium (0.5-0.7),True
nutrition_knowledge,q33,-0.4137,0.4137,Low (<0.5),False
nutrition_knowledge,q34,0.8605,0.8605,High (≥0.7),True
nutrition_knowledge,q35,0.762,0.762,High (≥0.7),True
nutrition_knowledge,q36,0.7449,0.7449,High (≥0.7),True
nutrition_knowledge,q37,-0.0938,0.0938,Low (<0.5),False
nutrition_knowledge,q38,0.9173,0.9173,High (≥0.7),True
nutrition_knowledge,q39,0.8586,0.8586,High (≥0.7),True
nutrition_knowledge,q40,-0.2466,0.2466,Low (<0.5),False
nutrition_knowledge,q41,0.2077,0.2077,Low (<0.5),False
nutrition_knowledge,q42,0.8514,0.8514,High (≥0.7),True
nutrition_knowledge,q43,0.8169,0.8169,High (≥0.7),True
nutrition_knowledge,q44,0.874,0.874,High (≥0.7),True
nutrition_knowledge,q45,0.9637,0.9637,High (≥0.7),True
nutrition_knowledge,q46,0.771,0.771,High (≥0.7),True
nutrition_knowledge,q47,-0.7764,0.7764,High (≥0.7),True
nutrition_knowledge,q48,0.5187,0.5187,Medium (0.5-0.7),True
nutrition_knowledge,q49,0.5238,0.5238,Medium (0.5-0.7),True
