combination,independent,dependent,moderator,interaction_coefficient,p_value,significant,n_observations,cfi,rmsea,analysis_time,status
perceived_benefit_x_perceived_price_to_health_concern,perceived_benefit,health_concern,perceived_price,-8.014514027467204e-05,0.3627453770892175,False,300,1.001543551215767,0.0,0.06838130950927734,success
perceived_benefit_x_nutrition_knowledge_to_health_concern,perceived_benefit,health_concern,nutrition_knowledge,-0.0007486139452053706,0.15392034053253334,False,300,1.0018141020949238,0.0,0.035794734954833984,success
perceived_price_x_perceived_benefit_to_health_concern,perceived_price,health_concern,perceived_benefit,-8.034783865379301e-05,0.3615777578439334,False,300,1.0015435460162538,0.0,0.027275800704956055,success
perceived_price_x_nutrition_knowledge_to_health_concern,perceived_price,health_concern,nutrition_knowledge,-0.00020312355946046609,0.4548667590472131,False,300,1.0017595805762327,0.0,0.027243852615356445,success
nutrition_knowledge_x_perceived_benefit_to_health_concern,nutrition_knowledge,health_concern,perceived_benefit,-0.0007482757735721039,0.15392797106125444,False,300,1.0018141067374506,0.0,0.028743982315063477,success
nutrition_knowledge_x_perceived_price_to_health_concern,nutrition_knowledge,health_concern,perceived_price,-0.0002030270344993439,0.45505865306467275,False,300,1.0017595797612728,0.0,0.027218341827392578,success
health_concern_x_perceived_price_to_perceived_benefit,health_concern,perceived_benefit,perceived_price,0.00010193402408130034,0.230647493487796,False,300,1.001543621515299,0.0,0.028128862380981445,success
health_concern_x_nutrition_knowledge_to_perceived_benefit,health_concern,perceived_benefit,nutrition_knowledge,0.0005505220409084744,0.30699277238023437,False,300,1.0018142592268078,0.0,0.028461694717407227,success
perceived_price_x_health_concern_to_perceived_benefit,perceived_price,perceived_benefit,health_concern,0.00010216246870991046,0.2296071023699442,False,300,1.001543622336834,0.0,0.02877497673034668,success
perceived_price_x_nutrition_knowledge_to_perceived_benefit,perceived_price,perceived_benefit,nutrition_knowledge,0.00021545369358066873,0.41499704835876594,False,300,1.0017509880656768,0.0,0.032889604568481445,success
nutrition_knowledge_x_health_concern_to_perceived_benefit,nutrition_knowledge,perceived_benefit,health_concern,0.0005515930288674607,0.3060577028124196,False,300,1.0018142586446754,0.0,0.025211811065673828,success
nutrition_knowledge_x_perceived_price_to_perceived_benefit,nutrition_knowledge,perceived_benefit,perceived_price,0.0002154609544329458,0.4149898261075975,False,300,1.001750988345443,0.0,0.02326488494873047,success
health_concern_x_perceived_benefit_to_perceived_price,health_concern,perceived_price,perceived_benefit,-3.79506475426736e-05,0.8658463795029416,False,300,1.0015436124522736,0.0,0.02678966522216797,success
health_concern_x_nutrition_knowledge_to_perceived_price,health_concern,perceived_price,nutrition_knowledge,0.00019164990802314176,0.8088273849118073,False,300,1.0017596472188126,0.0,0.03433108329772949,success
perceived_benefit_x_health_concern_to_perceived_price,perceived_benefit,perceived_price,health_concern,-3.7843159030209625e-05,0.8662111072885779,False,300,1.0015436166035152,0.0,0.029291152954101562,success
perceived_benefit_x_nutrition_knowledge_to_perceived_price,perceived_benefit,perceived_price,nutrition_knowledge,-0.0007943714804892775,0.2897806173138884,False,300,1.0017509568900562,0.0,0.027746915817260742,success
nutrition_knowledge_x_health_concern_to_perceived_price,nutrition_knowledge,perceived_price,health_concern,0.00019165005359559313,0.8088272548894311,False,300,1.0017596472182504,0.0,0.02718973159790039,success
nutrition_knowledge_x_perceived_benefit_to_perceived_price,nutrition_knowledge,perceived_price,perceived_benefit,-0.0007939247596509887,0.2900288145242089,False,300,1.0017509539358622,0.0,0.027724266052246094,success
health_concern_x_perceived_benefit_to_nutrition_knowledge,health_concern,nutrition_knowledge,perceived_benefit,8.23860871617611e-05,0.46511365215737066,False,300,1.0018144547407972,0.0,0.02875804901123047,success
health_concern_x_perceived_price_to_nutrition_knowledge,health_concern,nutrition_knowledge,perceived_price,5.432750130243766e-05,0.38673832589420787,False,300,1.0017599881707686,0.0,0.02572917938232422,success
perceived_benefit_x_health_concern_to_nutrition_knowledge,perceived_benefit,nutrition_knowledge,health_concern,8.241064324330091e-05,0.46478211953212445,False,300,1.0018144951394226,0.0,0.02214336395263672,success
perceived_benefit_x_perceived_price_to_nutrition_knowledge,perceived_benefit,nutrition_knowledge,perceived_price,4.2900746720619216e-05,0.4970917303552693,False,300,1.0017511874188565,0.0,0.02572774887084961,success
perceived_price_x_health_concern_to_nutrition_knowledge,perceived_price,nutrition_knowledge,health_concern,5.423972308853679e-05,0.3875076196696732,False,300,1.0017599900302068,0.0,0.023218631744384766,success
perceived_price_x_perceived_benefit_to_nutrition_knowledge,perceived_price,nutrition_knowledge,perceived_benefit,4.2953115577649766e-05,0.49660386814493984,False,300,1.0017511852476357,0.0,0.027250051498413086,success
