Coefficient,Estimate,Std. Err.,P. Value
ζ_health_concern_1,1.0,N/A,N/A
ζ_health_concern_2,1.0,N/A,N/A
ζ_health_concern_3,1.0,N/A,N/A
ζ_health_concern_4,1.0,N/A,N/A
ζ_health_concern_5,1.0,N/A,N/A
ζ_health_concern_6,1.0,N/A,N/A
"τ_health_concern_1,1",-2.0,N/A,N/A
"τ_health_concern_1,2",-1.0,N/A,N/A
"τ_health_concern_1,3",1.0,N/A,N/A
"τ_health_concern_1,4",2.0,N/A,N/A
"τ_health_concern_2,1",-2.0,N/A,N/A
"τ_health_concern_2,2",-1.0,N/A,N/A
"τ_health_concern_2,3",1.0,N/A,N/A
"τ_health_concern_2,4",2.0,N/A,N/A
"τ_health_concern_3,1",-2.0,N/A,N/A
"τ_health_concern_3,2",-1.0,N/A,N/A
"τ_health_concern_3,3",1.0,N/A,N/A
"τ_health_concern_3,4",2.0,N/A,N/A
"τ_health_concern_4,1",-2.0,N/A,N/A
"τ_health_concern_4,2",-1.0,N/A,N/A
"τ_health_concern_4,3",1.0,N/A,N/A
"τ_health_concern_4,4",2.0,N/A,N/A
"τ_health_concern_5,1",-2.0,N/A,N/A
"τ_health_concern_5,2",-1.0,N/A,N/A
"τ_health_concern_5,3",1.0,N/A,N/A
"τ_health_concern_5,4",2.0,N/A,N/A
"τ_health_concern_6,1",-2.0,N/A,N/A
"τ_health_concern_6,2",-1.0,N/A,N/A
"τ_health_concern_6,3",1.0,N/A,N/A
"τ_health_concern_6,4",2.0,N/A,N/A
ζ_perceived_benefit_1,1.0,N/A,N/A
ζ_perceived_benefit_2,1.0,N/A,N/A
ζ_perceived_benefit_3,1.0,N/A,N/A
ζ_perceived_benefit_4,1.0,N/A,N/A
ζ_perceived_benefit_5,1.0,N/A,N/A
ζ_perceived_benefit_6,1.0,N/A,N/A
"τ_perceived_benefit_1,1",-2.0,N/A,N/A
"τ_perceived_benefit_1,2",-1.0,N/A,N/A
"τ_perceived_benefit_1,3",1.0,N/A,N/A
"τ_perceived_benefit_1,4",2.0,N/A,N/A
"τ_perceived_benefit_2,1",-2.0,N/A,N/A
"τ_perceived_benefit_2,2",-1.0,N/A,N/A
"τ_perceived_benefit_2,3",1.0,N/A,N/A
"τ_perceived_benefit_2,4",2.0,N/A,N/A
"τ_perceived_benefit_3,1",-2.0,N/A,N/A
"τ_perceived_benefit_3,2",-1.0,N/A,N/A
"τ_perceived_benefit_3,3",1.0,N/A,N/A
"τ_perceived_benefit_3,4",2.0,N/A,N/A
"τ_perceived_benefit_4,1",-2.0,N/A,N/A
"τ_perceived_benefit_4,2",-1.0,N/A,N/A
"τ_perceived_benefit_4,3",1.0,N/A,N/A
"τ_perceived_benefit_4,4",2.0,N/A,N/A
"τ_perceived_benefit_5,1",-2.0,N/A,N/A
"τ_perceived_benefit_5,2",-1.0,N/A,N/A
"τ_perceived_benefit_5,3",1.0,N/A,N/A
"τ_perceived_benefit_5,4",2.0,N/A,N/A
"τ_perceived_benefit_6,1",-2.0,N/A,N/A
"τ_perceived_benefit_6,2",-1.0,N/A,N/A
"τ_perceived_benefit_6,3",1.0,N/A,N/A
"τ_perceived_benefit_6,4",2.0,N/A,N/A
ζ_perceived_price_1,1.0,N/A,N/A
ζ_perceived_price_2,1.0,N/A,N/A
ζ_perceived_price_3,1.0,N/A,N/A
