Coefficient,Estimate,Std. Err.,P. Value
γ_health_concern_to_perceived_benefit,0.5104608168483384,1.0000783085742844,0.6097566552064257
γ_perceived_benefit_to_purchase_intention,0.49825880040605136,1.0000060472915488,0.6183037661475195
β_Intercept,-0.020154847154920857,1.0030777712113037,0.983969179837908
β_sugar_free,0.2327471483016399,1.0064627174123295,0.8171185466674864
β_health_label,0.22607107715443026,1.0084932583497697,0.8226272299325192
β_price,-0.2608448586441295,1.0421937524334142,0.8023674043219968
λ_main,0.44515815040806117,1.112372495096635,0.6890180349742083
λ_mod_perceived_price,-1.496759132036947,1.9632734369663687,0.4458336256417166
λ_mod_nutrition_knowledge,1.0513277148072184,1.026143032479729,0.305578846738807
,,,
Estimation statistics,,,
Iterations,24,LL (start),N/A
AIC,171129.95,"LL (final, whole model)",-85484.98
BIC,171664.62,LL (Choice),N/A
