2025-11-08 18:23:46 - ======================================================================
2025-11-08 18:23:46 - ICLV 모델 추정 시작
2025-11-08 18:23:46 - ======================================================================
2025-11-08 18:23:46 - SimultaneousEstimator.estimate() 시작
2025-11-08 18:23:46 - 데이터 shape: (5400, 59)
2025-11-08 18:23:46 - 개인 수: 299
2025-11-08 18:23:46 - Halton draws 생성 시작... (n_draws=100, n_individuals=299)
2025-11-08 18:23:46 - Halton draws 생성 완료
2025-11-08 18:23:46 - Analytic gradient calculators 초기화 (Apollo 방식)...
2025-11-08 18:23:46 - Analytic gradient calculators 초기화 완료
2025-11-08 18:23:46 - 초기 파라미터 설정 시작...
2025-11-08 18:23:46 - 초기 파라미터 설정 완료 (총 37개)
2025-11-08 18:23:46 - 파라미터 bounds 계산 시작...
2025-11-08 18:23:46 - 파라미터 bounds 계산 완료 (총 37개)
2025-11-08 18:23:46 - 최대 반복 횟수: 1000
2025-11-08 18:23:46 - ======================================================================
2025-11-08 18:23:46 - 병렬처리 활성화: 27 코어 사용
2025-11-08 18:23:46 - 최적화 시작: BFGS (gradient-based)
2025-11-08 18:23:46 - Analytic gradient 사용 (Apollo 방식)
2025-11-08 18:23:46 - 조기 종료 활성화: 20회 연속 함수 호출에서 LL 개선 없으면 종료 (tol=1e-6)
2025-11-08 18:24:03 - Iter    1: LL =   -7176.3033 (Best:   -7176.3033) [NEW BEST]
2025-11-08 18:27:41 - Iter    7: LL =   -6717.3358 (Best:   -6717.3358) [NEW BEST]
2025-11-08 18:28:19 - Iter    8: LL =   -6020.4419 (Best:   -6020.4419) [NEW BEST]
2025-11-08 18:29:37 - Iter   10: LL =   -5796.5083 (Best:   -5796.5083) [NEW BEST]
2025-11-08 18:30:54 - Iter   12: LL =   -5682.3673 (Best:   -5682.3673) [NEW BEST]
2025-11-08 18:31:32 - Iter   13: LL =   -5544.7678 (Best:   -5544.7678) [NEW BEST]
2025-11-08 18:33:21 - Iter   16: LL =   -5529.9671 (Best:   -5529.9671) [NEW BEST]
2025-11-08 18:33:58 - Iter   17: LL =   -5511.6944 (Best:   -5511.6944) [NEW BEST]
2025-11-08 18:34:34 - Iter   18: LL =   -5493.1935 (Best:   -5493.1935) [NEW BEST]
2025-11-08 18:35:49 - Iter   20: LL =   -5487.9547 (Best:   -5487.9547) [NEW BEST]
2025-11-08 18:36:26 - Iter   21: LL =   -5482.5551 (Best:   -5482.5551) [NEW BEST]
2025-11-08 18:37:02 - Iter   22: LL =   -5478.1936 (Best:   -5478.1936) [NEW BEST]
2025-11-08 18:37:40 - Iter   23: LL =   -5475.4761 (Best:   -5475.4761) [NEW BEST]
2025-11-08 18:38:16 - Iter   24: LL =   -5470.2843 (Best:   -5470.2843) [NEW BEST]
2025-11-08 18:38:52 - Iter   25: LL =   -5460.7301 (Best:   -5460.7301) [NEW BEST]
2025-11-08 18:39:29 - Iter   26: LL =   -5446.4138 (Best:   -5446.4138) [NEW BEST]
2025-11-08 18:40:06 - Iter   27: LL =   -5433.9046 (Best:   -5433.9046) [NEW BEST]
2025-11-08 18:41:19 - Iter   29: LL =   -5428.9298 (Best:   -5428.9298) [NEW BEST]
2025-11-08 18:41:55 - Iter   30: LL =   -5422.9821 (Best:   -5422.9821) [NEW BEST]
2025-11-08 18:42:32 - Iter   31: LL =   -5420.1506 (Best:   -5420.1506) [NEW BEST]
2025-11-08 18:43:08 - Iter   32: LL =   -5416.1578 (Best:   -5416.1578) [NEW BEST]
2025-11-08 18:43:45 - Iter   33: LL =   -5413.9836 (Best:   -5413.9836) [NEW BEST]
2025-11-08 18:44:21 - Iter   34: LL =   -5410.5127 (Best:   -5410.5127) [NEW BEST]
2025-11-08 18:44:57 - Iter   35: LL =   -5408.8106 (Best:   -5408.8106) [NEW BEST]
2025-11-08 18:45:33 - Iter   36: LL =   -5405.6137 (Best:   -5405.6137) [NEW BEST]
