Coefficient,Estimate,Std. Err.,P. Value
ζ_1,2.330761690895301,1.0146018448015108,0.0216063328570592
ζ_2,2.813939829457164,1.001006912279338,0.0049371012824626
ζ_3,1.7256489258725265,1.0123943299971607,0.0882835141038698
ζ_4,2.5784847553428114,1.0141066788453532,0.0110025797363242
ζ_5,1.7704722356510525,1.0120750446719866,0.0802307503447872
ζ_6,2.374269102162837,1.0100393069190667,0.0187396450189232
"τ_1,1",-3.8750737107937776,1.0000239477216564,0.0001066330569443
"τ_1,2",-2.890889393386884,1.0004101859824324,0.0038560462755321
"τ_1,3",-0.803616993818171,1.0003096700549183,0.4217619409842712
"τ_1,4",1.5963078411757037,1.0016755933472319,0.1110172384265502
"τ_2,1",-4.880580856638843,1.0001815445441506,1.0625003865616378e-06
"τ_2,2",-3.069268993381709,1.0005099990745125,0.0021570983299261
"τ_2,3",-0.562596108002366,1.0000017944601975,0.5737106304660764
"τ_2,4",2.188938450727666,1.001780035138665,0.0288852550096354
"τ_3,1",-3.802163672455456,1.0000758343173788,0.0001436049698864
"τ_3,2",-2.280556892837761,1.0004822180202662,0.0226398718932747
"τ_3,3",-0.4416445501871351,1.011104772549983,0.662260713315094
"τ_3,4",1.8295194580616,1.0012187944506241,0.067655822692527
"τ_4,1",-4.7411443300612905,1.0000021213325252,2.125250193607542e-06
"τ_4,2",-3.327433620215702,1.0000498643372993,0.0008770207476784
"τ_4,3",-1.2237840069023882,1.0096248008774191,0.2254673612929472
"τ_4,4",2.1073873009689508,1.001690637741067,0.0353932364876654
"τ_5,1",-4.161298966131763,0.9999998915868215,3.164418677448211e-05
"τ_5,2",-3.0425371612773624,0.9999952220106916,0.0023458151831243
"τ_5,3",-0.9583909606340568,1.0078673765661956,0.3416501689826581
"τ_5,4",1.172965504961289,1.0029235267872298,0.2421835964556091
"τ_6,1",-3.936523926052722,1.000197153131407,8.293797323255525e-05
"τ_6,2",-2.5532896024546945,1.0015939134473946,0.010796220081259
"τ_6,3",-0.483970669805099,1.0131649573373438,0.6328765529759435
"τ_6,4",2.481675573425078,1.0086168234062527,0.0138753585549158
γ_age_std,0.0197785841117619,1.0000519315442695,0.9842208212755232
γ_gender,0.0516376235814787,1.0097075386633347,0.9592130310100564
γ_income_std,0.0817958334239913,1.0005569698408077,0.9348452777974088
β_Intercept,3.1749949034919087,1.0008918979429424,0.0015130667207647
β_price,-0.0015016846465332,0.0004448915973323173,0.0007370994951783
β_health_label,1.0056218944812945,0.9998387242343559,0.3145194359265444
λ,0.002727238286145,0.07652476074305774,0.9715704987932624
,,,
Estimation statistics,,,
Iterations,90.0,LL (start),-7581.21
AIC,11543.41,"LL (final, whole model)",-5734.7
BIC,11790.69,LL (Choice),
