respondent_id,question_id,chosen_sugar_type,chosen_health_label,chosen_price,chose_sugar_free,chose_health_label,choice_value,sugar_free,health_label,price,price_normalized,sugar_health_interaction,sugar_price_interaction,health_price_interaction,perceived_benefit_score,benefit_direct_utility,benefit_sugar_interaction,benefit_label_interaction,benefit_price_interaction,nutrition_knowledge_score,knowledge_direct_utility,knowledge_sugar_interaction,knowledge_label_interaction,knowledge_price_interaction,knowledge_level,perceived_price_score,price_perception_direct_utility,price_perception_actual_interaction,price_perception_sugar_interaction,price_perception_label_interaction,price_sensitivity_level
1,q21,무설탕,건강라벨 있음,2500,1,1,1,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.1456048752674213,2.85,2.85,2.85,2.85,0.9794921683536452,,3.6666666666666665,3.6666666666666665,1.2601653627941634,3.6666666666666665,3.6666666666666665,
1,q22,무설탕,건강라벨 있음,2500,1,1,2,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.1456048752674213,2.85,2.85,2.85,2.85,0.9794921683536452,,3.6666666666666665,3.6666666666666665,1.2601653627941634,3.6666666666666665,3.6666666666666665,
1,q23,무설탕,건강라벨 없음,2000,1,0,1,1,0,2000,-1.0432895704929424,0,-1.0432895704929424,-0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,-3.477631901643141,2.85,2.85,2.85,0.0,-2.973375275904886,,3.6666666666666665,3.6666666666666665,-3.8253950918074553,3.6666666666666665,0.0,
1,q24,일반당,건강라벨 있음,2000,0,1,1,0,1,2000,-1.0432895704929424,0,-0.0,-1.0432895704929424,3.3333333333333335,3.3333333333333335,0.0,3.3333333333333335,-3.477631901643141,2.85,2.85,0.0,2.85,-2.973375275904886,,3.6666666666666665,3.6666666666666665,-3.8253950918074553,0.0,3.6666666666666665,
1,q25,무설탕,건강라벨 없음,2500,1,0,1,1,0,2500,0.34368146258022636,0,0.34368146258022636,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,1.1456048752674213,2.85,2.85,2.85,0.0,0.9794921683536452,,3.6666666666666665,3.6666666666666665,1.2601653627941634,3.6666666666666665,0.0,
1,q26,무설탕,건강라벨 없음,2000,1,0,2,1,0,2000,-1.0432895704929424,0,-1.0432895704929424,-0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,-3.477631901643141,2.85,2.85,2.85,0.0,-2.973375275904886,,3.6666666666666665,3.6666666666666665,-3.8253950918074553,3.6666666666666665,0.0,
3,q21,무설탕,건강라벨 있음,2500,1,1,1,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.5,3.5,3.5,3.5,1.2028851190307923,3.75,3.75,3.75,3.75,1.2888054846758488,,4.0,4.0,1.3747258503209054,4.0,4.0,
3,q22,무설탕,건강라벨 있음,2500,1,1,2,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.5,3.5,3.5,3.5,1.2028851190307923,3.75,3.75,3.75,3.75,1.2888054846758488,,4.0,4.0,1.3747258503209054,4.0,4.0,
3,q23,무설탕,건강라벨 있음,3000,1,1,2,1,1,3000,1.730652495653395,1,1.730652495653395,1.730652495653395,3.5,3.5,3.5,3.5,6.057283734786883,3.75,3.75,3.75,3.75,6.489946858700232,,4.0,4.0,6.92260998261358,4.0,4.0,
3,q24,일반당,건강라벨 있음,2000,0,1,1,0,1,2000,-1.0432895704929424,0,-0.0,-1.0432895704929424,3.5,3.5,0.0,3.5,-3.6515134967252982,3.75,3.75,0.0,3.75,-3.912335889348534,,4.0,4.0,-4.173158281971769,0.0,4.0,
3,q25,일반당,건강라벨 있음,3000,0,1,2,0,1,3000,1.730652495653395,0,0.0,1.730652495653395,3.5,3.5,0.0,3.5,6.057283734786883,3.75,3.75,0.0,3.75,6.489946858700232,,4.0,4.0,6.92260998261358,0.0,4.0,
3,q26,일반당,건강라벨 있음,3000,0,1,1,0,1,3000,1.730652495653395,0,0.0,1.730652495653395,3.5,3.5,0.0,3.5,6.057283734786883,3.75,3.75,0.0,3.75,6.489946858700232,,4.0,4.0,6.92260998261358,0.0,4.0,
5,q21,무설탕,건강라벨 있음,2500,1,1,1,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.5,3.5,3.5,3.5,1.2028851190307923,3.35,3.35,3.35,3.35,1.1513328996437584,,3.6666666666666665,3.6666666666666665,1.2601653627941634,3.6666666666666665,3.6666666666666665,
5,q22,무설탕,건강라벨 있음,2500,1,1,2,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.5,3.5,3.5,3.5,1.2028851190307923,3.35,3.35,3.35,3.35,1.1513328996437584,,3.6666666666666665,3.6666666666666665,1.2601653627941634,3.6666666666666665,3.6666666666666665,
5,q23,무설탕,건강라벨 없음,2000,1,0,1,1,0,2000,-1.0432895704929424,0,-1.0432895704929424,-0.0,3.5,3.5,3.5,0.0,-3.6515134967252982,3.35,3.35,3.35,0.0,-3.495020061151357,,3.6666666666666665,3.6666666666666665,-3.8253950918074553,3.6666666666666665,0.0,
5,q25,무설탕,건강라벨 없음,2500,1,0,1,1,0,2500,0.34368146258022636,0,0.34368146258022636,0.0,3.5,3.5,3.5,0.0,1.2028851190307923,3.35,3.35,3.35,0.0,1.1513328996437584,,3.6666666666666665,3.6666666666666665,1.2601653627941634,3.6666666666666665,0.0,
5,q26,무설탕,건강라벨 없음,2000,1,0,2,1,0,2000,-1.0432895704929424,0,-1.0432895704929424,-0.0,3.5,3.5,3.5,0.0,-3.6515134967252982,3.35,3.35,3.35,0.0,-3.495020061151357,,3.6666666666666665,3.6666666666666665,-3.8253950918074553,3.6666666666666665,0.0,
6,q21,무설탕,건강라벨 있음,2500,1,1,1,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.0,3.0,3.0,3.0,1.0310443877406792,3.15,3.15,3.15,3.15,1.082596607127713,,3.0,3.0,1.0310443877406792,3.0,3.0,
6,q22,무설탕,건강라벨 있음,2500,1,1,2,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.0,3.0,3.0,3.0,1.0310443877406792,3.15,3.15,3.15,3.15,1.082596607127713,,3.0,3.0,1.0310443877406792,3.0,3.0,
6,q23,무설탕,건강라벨 없음,2000,1,0,1,1,0,2000,-1.0432895704929424,0,-1.0432895704929424,-0.0,3.0,3.0,3.0,0.0,-3.129868711478827,3.15,3.15,3.15,0.0,-3.286362147052768,,3.0,3.0,-3.129868711478827,3.0,0.0,
6,q24,일반당,건강라벨 있음,2000,0,1,1,0,1,2000,-1.0432895704929424,0,-0.0,-1.0432895704929424,3.0,3.0,0.0,3.0,-3.129868711478827,3.15,3.15,0.0,3.15,-3.286362147052768,,3.0,3.0,-3.129868711478827,0.0,3.0,
6,q25,무설탕,건강라벨 없음,2500,1,0,1,1,0,2500,0.34368146258022636,0,0.34368146258022636,0.0,3.0,3.0,3.0,0.0,1.0310443877406792,3.15,3.15,3.15,0.0,1.082596607127713,,3.0,3.0,1.0310443877406792,3.0,0.0,
6,q26,무설탕,건강라벨 없음,2000,1,0,2,1,0,2000,-1.0432895704929424,0,-1.0432895704929424,-0.0,3.0,3.0,3.0,0.0,-3.129868711478827,3.15,3.15,3.15,0.0,-3.286362147052768,,3.0,3.0,-3.129868711478827,3.0,0.0,
8,q21,무설탕,건강라벨 있음,2500,1,1,1,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.5,3.5,3.5,3.5,1.2028851190307923,3.45,3.45,3.45,3.45,1.185701045901781,,3.3333333333333335,3.3333333333333335,1.1456048752674213,3.3333333333333335,3.3333333333333335,
8,q22,무설탕,건강라벨 있음,2500,1,1,2,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,3.5,3.5,3.5,3.5,1.2028851190307923,3.45,3.45,3.45,3.45,1.185701045901781,,3.3333333333333335,3.3333333333333335,1.1456048752674213,3.3333333333333335,3.3333333333333335,
8,q23,무설탕,건강라벨 있음,3000,1,1,2,1,1,3000,1.730652495653395,1,1.730652495653395,1.730652495653395,3.5,3.5,3.5,3.5,6.057283734786883,3.45,3.45,3.45,3.45,5.970751110004214,,3.3333333333333335,3.3333333333333335,5.768841652177984,3.3333333333333335,3.3333333333333335,
8,q24,일반당,건강라벨 있음,2000,0,1,1,0,1,2000,-1.0432895704929424,0,-0.0,-1.0432895704929424,3.5,3.5,0.0,3.5,-3.6515134967252982,3.45,3.45,0.0,3.45,-3.5993490182006513,,3.3333333333333335,3.3333333333333335,-3.477631901643141,0.0,3.3333333333333335,
8,q25,일반당,건강라벨 있음,3000,0,1,2,0,1,3000,1.730652495653395,0,0.0,1.730652495653395,3.5,3.5,0.0,3.5,6.057283734786883,3.45,3.45,0.0,3.45,5.970751110004214,,3.3333333333333335,3.3333333333333335,5.768841652177984,0.0,3.3333333333333335,
8,q26,일반당,건강라벨 있음,3000,0,1,1,0,1,3000,1.730652495653395,0,0.0,1.730652495653395,3.5,3.5,0.0,3.5,6.057283734786883,3.45,3.45,0.0,3.45,5.970751110004214,,3.3333333333333335,3.3333333333333335,5.768841652177984,0.0,3.3333333333333335,
10,q21,일반당,건강라벨 없음,2000,0,0,2,0,0,2000,-1.0432895704929424,0,-0.0,-0.0,2.5,2.5,0.0,0.0,-2.608223926232356,3.35,3.35,0.0,0.0,-3.495020061151357,,4.0,4.0,-4.173158281971769,0.0,0.0,
10,q22,무설탕,건강라벨 있음,2500,1,1,2,1,1,2500,0.34368146258022636,1,0.34368146258022636,0.34368146258022636,2.5,2.5,2.5,2.5,0.8592036564505658,3.35,3.35,3.35,3.35,1.1513328996437584,,4.0,4.0,1.3747258503209054,4.0,4.0,
10,q23,무설탕,건강라벨 없음,2000,1,0,1,1,0,2000,-1.0432895704929424,0,-1.0432895704929424,-0.0,2.5,2.5,2.5,0.0,-2.608223926232356,3.35,3.35,3.35,0.0,-3.495020061151357,,4.0,4.0,-4.173158281971769,4.0,0.0,
